Recipient,Category,Grant,FY14
Portland,Property Tax,Elderly Circuit Breaker,58793.29
Portland,Property Tax,State Property PILOT,25263.95
Portland,Property Tax,Veterans' Exemption,7307.7
Portland,Property Tax,Disability Exemption,860.97
Portland,Property Tax,Pequot Grants,32582.98
Portland,Property Tax,Grants For Municipal Projects,85435
New London,Education,Interdistrict Cooperation,64004
New London,Education,Child Nutrition State Match,25416
New London,Education,School Construction,5570737.42
New London,Education,School Breakfast,30918
New London,Education,Magnet Schools,4370200
New London,Education,Bilingual Education,54807
New London,Education,Excess Cost- Student Based,1369962
New London,Education,Education Cost Sharing,24654799
New London,Education,Public School Transportation,246366
New London,Education,Nonpublic School Transportation,54977
New London,Education,Priority School Districts,1146062
New London,Education,Extended School Hours,67212
New London,Education,School Accountability- Summer School,78383
New London,Education,Youth Service Bureaus,32997
New London,Education,Adult Education,1036398
New London,Public Health/Social Services,Healthy Foods Initiative,50056
New London,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,42976
New London,Property Tax,Colleges &amp; Hospitals PILOT,4698208.37
New London,Property Tax,Elderly Circuit Breaker,104478.67
New London,Property Tax,State Property PILOT,376342.38
New London,Property Tax,Veterans' Exemption,6380.51
New London,Property Tax,Disability Exemption,2065.96
New London,Property Tax,Pequot Grants,1786209.59
New London,Property Tax,Grants For Municipal Projects,31195
New London,Capital Projects/Transportation,LoCIP,313951
New London,Capital Projects/Transportation,Town Aid Road,389683.64
New London,Capital Projects/Transportation,Distressed Municipalities,1578242.9
New Haven,Education,Interdistrict Cooperation,161840
New Haven,Education,Family Resource Center Program,522500
New Haven,Education,Child Nutrition State Match,127518
New Haven,Education,School Construction,22978173.23
New Haven,Education,OPEN Choice,580782
New Haven,Education,School Breakfast,163251
New Haven,Education,Magnet Schools,39348120
New Haven,Education,Bilingual Education,216226
New Haven,Education,Excess Cost- Student Based,2748940
New Haven,Education,Education Cost Sharing,151255860
New Haven,Education,Public School Transportation,2210733
New Haven,Education,Nonpublic School Transportation,216277
New Haven,Education,Priority School Districts,6165353
New Haven,Education,Extended School Hours,344863
New Haven,Education,School Accountability- Summer School,400374
New Haven,Education,Youth Service Bureaus,134737
New Haven,Education,Adult Education,3108138
New Haven,Education,Vocational Agriculture,962832
New Haven,Education,Young Parents Program,50000
New Haven,Education,Commissioner's Network,1363568
New Haven,Education,Child Care Services,630743.27
New Haven,Public Health/Social Services,Healthy Foods Initiative,257264
New Haven,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,46989
New Haven,Public Health/Social Services,School-Based Health Centers,1348088
New Haven,Public Health/Social Services,Local and District Departments of Health,152910.3
New Haven,Public Health/Social Services,Healthy Start,368390
New Haven,Public Health/Social Services,Community Services,22347
New Haven,Property Tax,Colleges &amp; Hospitals PILOT,38567487.84
New Haven,Property Tax,Elderly Circuit Breaker,434349.56
New Haven,Property Tax,State Property PILOT,5070785.73
New Haven,Property Tax,Veterans' Exemption,52426.83
New Haven,Property Tax,Disability Exemption,11230.71
New Haven,Property Tax,Pequot Grants,7417027.69
New Haven,Property Tax,Elderly Freeze,4000
New Haven,Property Tax,DECD Tax Abatement,85128
New Haven,Property Tax,Grants For Municipal Projects,1287658
New Haven,Capital Projects/Transportation,LoCIP,1790889
New Haven,Capital Projects/Transportation,Town Aid Road,1244746.28
New Haven,Capital Projects/Transportation,Distressed Municipalities,231722
New Haven,Capital Projects/Transportation,Urban Action Grants,0
Middletown,Education,Interdistrict Cooperation,31660
Middletown,Education,Family Resource Center Program,209000
Middletown,Education,Child Nutrition State Match,21848
Middletown,Education,School Breakfast,35980
Middletown,Education,Magnet Schools,194000
Middletown,Education,Excess Cost- Student Based,2445109
Middletown,Education,Education Cost Sharing,19144360
Middletown,Education,Public School Transportation,568978
Middletown,Education,Nonpublic School Transportation,116254
Middletown,Education,Youth Service Bureaus,39385
Middletown,Education,Adult Education,1317644
Middletown,Education,Vocational Agriculture,359571
Middletown,Public Health/Social Services,Healthy Foods Initiative,44369
Middletown,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,93958
Middletown,Property Tax,Colleges &amp; Hospitals PILOT,3754909.94
Middletown,Property Tax,Elderly Circuit Breaker,221916.1
Middletown,Property Tax,State Property PILOT,2312094.25
Middletown,Property Tax,Veterans' Exemption,9958.56
Middletown,Property Tax,Disability Exemption,3833.07
Middletown,Property Tax,Pequot Grants,1245999.98
Middletown,Property Tax,Elderly Freeze,4000
Middletown,Property Tax,DECD Tax Abatement,75746
Middletown,Property Tax,DECD PILOT Grant,133687
Middletown,Property Tax,Grants For Municipal Projects,2105648.28
Middletown,Capital Projects/Transportation,LoCIP,319254
Middletown,Capital Projects/Transportation,Town Aid Road,602120.1
Middletown,Capital Projects/Transportation,Distressed Municipalities,29426.51
Middletown,Capital Projects/Transportation,Urban Action Grants,0
Middletown,Capital Projects/Transportation,Bus Operations,1161753.19
Killingly,Education,Interdistrict Cooperation,27957
Killingly,Education,Family Resource Center Program,104500
Killingly,Education,Child Nutrition State Match,12064
Killingly,Education,School Breakfast,13223
Killingly,Education,Magnet Schools,3900
Killingly,Education,Excess Cost- Student Based,1060986
Killingly,Education,Education Cost Sharing,15792324
Killingly,Education,Public School Transportation,243023
Killingly,Education,Nonpublic School Transportation,25493
Killingly,Education,Adult Education,109670
Killingly,Education,Vocational Agriculture,365102
Killingly,Public Health/Social Services,Healthy Foods Initiative,22674
Killingly,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,34248
Killingly,Property Tax,Elderly Circuit Breaker,160781.77
Killingly,Property Tax,State Property PILOT,246326.02
Killingly,Property Tax,Veterans' Exemption,9178.56
Killingly,Property Tax,Disability Exemption,3926.7
Killingly,Property Tax,Pequot Grants,150886.05
Killingly,Property Tax,Grants For Municipal Projects,713895.53
Killingly,Property Tax,Municipal Aid Adjustment,11500.49
Killingly,Capital Projects/Transportation,LoCIP,148014
Killingly,Capital Projects/Transportation,Town Aid Road,362879.46
Killingly,Capital Projects/Transportation,Distressed Municipalities,108588.61
Hartford,Education,Interdistrict Cooperation,145193
Hartford,Education,Family Resource Center Program,627000
Hartford,Education,Child Nutrition State Match,163131
Hartford,Education,School Construction,19715961.05
Hartford,Education,OPEN Choice,434301
Hartford,Education,School Breakfast,157917
Hartford,Education,Magnet Schools,56043383
Hartford,Education,Bilingual Education,293435
Hartford,Education,Excess Cost- Student Based,9747767
Hartford,Education,Education Cost Sharing,195696519
Hartford,Education,Public School Transportation,1846621
Hartford,Education,Nonpublic School Transportation,102790
Hartford,Education,Priority School Districts,6165353
Hartford,Education,Extended School Hours,404347
Hartford,Education,School Accountability- Summer School,474556
Hartford,Education,Youth Service Bureaus,173145
Hartford,Education,Adult Education,1874962
Hartford,Education,Commissioner's Network,1305607
Hartford,Education,Child Care Services,628687.95
Hartford,Public Health/Social Services,Healthy Foods Initiative,327886
Hartford,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,92863
Hartford,Public Health/Social Services,School-Based Health Centers,1042112
Hartford,Public Health/Social Services,Local and District Departments of Health,147343.06
Hartford,Public Health/Social Services,Healthy Start,265480
Hartford,Public Health/Social Services,Housing/Homeless Services,464052
Hartford,Property Tax,Colleges &amp; Hospitals PILOT,24234224.9
Hartford,Property Tax,Elderly Circuit Breaker,337119.12
Hartford,Property Tax,State Property PILOT,13792383.19
Hartford,Property Tax,Veterans' Exemption,55050.19
Hartford,Property Tax,Disability Exemption,9810.16
Hartford,Property Tax,Pequot Grants,6668828.53
Hartford,Property Tax,Elderly Freeze,2000
Hartford,Property Tax,DECD Tax Abatement,418770
Hartford,Property Tax,DECD PILOT Grant,488583
Hartford,Property Tax,Grants For Municipal Projects,1334719
Hartford,Property Tax,Municipal Aid Adjustment,2682981.21
Hartford,Capital Projects/Transportation,LoCIP,1895234
Hartford,Capital Projects/Transportation,Town Aid Road,1205201.65
Hartford,Capital Projects/Transportation,Distressed Municipalities,705721.35
Hartford,Capital Projects/Transportation,Urban Action Grants,3100000
Hartford,Capital Projects/Transportation,Bus Operations,66789
Farmington,Education,Interdistrict Cooperation,177491
Farmington,Education,Child Nutrition State Match,14971
Farmington,Education,School Construction,179230.75
Farmington,Education,OPEN Choice,499887
Farmington,Education,Excess Cost- Student Based,568644
Farmington,Education,Education Cost Sharing,1637675
Farmington,Education,Public School Transportation,21296
Farmington,Education,Youth Service Bureaus,20172
Farmington,Education,Adult Education,3580
Farmington,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Farmington,Capital Projects/Transportation,LoCIP,138512
Farmington,Capital Projects/Transportation,Town Aid Road,372175.1
Farmington,Capital Projects/Transportation,Bus Operations,62043
Farmington,Property Tax,Colleges &amp; Hospitals PILOT,27675.11
Farmington,Property Tax,Elderly Circuit Breaker,139343.62
Farmington,Property Tax,State Property PILOT,2745280.53
Farmington,Property Tax,Veterans' Exemption,5073.64
Farmington,Property Tax,Disability Exemption,869.5
Farmington,Property Tax,Pequot Grants,30763.11
Farmington,Property Tax,Elderly Freeze,2000
Farmington,Property Tax,Grants For Municipal Projects,513328
Farmington,Property Tax,Municipal Aid Adjustment,25686.45
Danbury,Education,Interdistrict Cooperation,18153
Danbury,Education,Family Resource Center Program,209000
Danbury,Education,Child Nutrition State Match,55581
Danbury,Education,School Construction,244304.42
Danbury,Education,School Breakfast,59654
Danbury,Education,Magnet Schools,1955280
Danbury,Education,Bilingual Education,179422
Danbury,Education,Excess Cost- Student Based,704554
Danbury,Education,Education Cost Sharing,27579754
Danbury,Education,Public School Transportation,475595
Danbury,Education,Nonpublic School Transportation,231988
Danbury,Education,Priority School Districts,2258664
Danbury,Education,Extended School Hours,203336
Danbury,Education,School Accountability- Summer School,234913
Danbury,Education,Youth Service Bureaus,69079
Danbury,Education,Adult Education,254957
Danbury,Education,Young Parents Program,49130
Danbury,Public Health/Social Services,Healthy Foods Initiative,109113
Danbury,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,117558
Danbury,Public Health/Social Services,School-Based Health Centers,497828
Danbury,Public Health/Social Services,Local and District Departments of Health,96371.78
Danbury,Public Health/Social Services,Housing/Homeless Services,101786
Danbury,Property Tax,Colleges &amp; Hospitals PILOT,1305854.61
Danbury,Property Tax,Elderly Circuit Breaker,349200.41
Danbury,Property Tax,State Property PILOT,2127391.32
Danbury,Property Tax,Veterans' Exemption,22815.84
Danbury,Property Tax,Disability Exemption,4473.98
Danbury,Property Tax,Pequot Grants,945549.43
Danbury,Property Tax,Elderly Freeze,2000
Danbury,Property Tax,DECD Tax Abatement,8393
Danbury,Property Tax,DECD PILOT Grant,138553
Danbury,Property Tax,Grants For Municipal Projects,1624148
Danbury,Capital Projects/Transportation,LoCIP,545776
Danbury,Capital Projects/Transportation,Town Aid Road,847951.39
Danbury,Capital Projects/Transportation,Urban Action Grants,0
Bristol,Education,Interdistrict Cooperation,57959
Bristol,Education,Family Resource Center Program,313500
Bristol,Education,Child Nutrition State Match,32982
Bristol,Education,School Breakfast,34381
Bristol,Education,Magnet Schools,2000
Bristol,Education,Bilingual Education,16702
Bristol,Education,Excess Cost- Student Based,3110223
Bristol,Education,Education Cost Sharing,43792531
Bristol,Education,Public School Transportation,322008
Bristol,Education,Nonpublic School Transportation,37882
Bristol,Education,Youth Service Bureaus,57372
Bristol,Education,Adult Education,291073
Bristol,Education,Child Care Services,111707.2
Bristol,Public Health/Social Services,Healthy Foods Initiative,67505
Bristol,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,276748
Bristol,Property Tax,Colleges &amp; Hospitals PILOT,521930.05
Bristol,Property Tax,Elderly Circuit Breaker,345139.07
Bristol,Property Tax,State Property PILOT,84686.9
Bristol,Property Tax,Veterans' Exemption,31648.27
Bristol,Property Tax,Disability Exemption,12838.61
Bristol,Property Tax,Pequot Grants,588738.74
Bristol,Property Tax,Elderly Freeze,6000
Bristol,Property Tax,DECD PILOT Grant,84164
Bristol,Property Tax,Grants For Municipal Projects,2338949
Bristol,Capital Projects/Transportation,LoCIP,473117
Bristol,Capital Projects/Transportation,Town Aid Road,665909.37
Bristol,Capital Projects/Transportation,Distressed Municipalities,116069.94
Bristol,Capital Projects/Transportation,Urban Action Grants,0
Bristol,Capital Projects/Transportation,Bus Operations,57275
Bridgeport,Education,Interdistrict Cooperation,37646
Bridgeport,Education,Family Resource Center Program,418000
Bridgeport,Education,Child Nutrition State Match,152349
Bridgeport,Education,School Construction,31749033.82
Bridgeport,Education,OPEN Choice,50847
Bridgeport,Education,School Breakfast,141512
Bridgeport,Education,After School Program,376504
Bridgeport,Education,Magnet Schools,5517565
Bridgeport,Education,Bilingual Education,216726
Bridgeport,Education,Excess Cost- Student Based,4414047
Bridgeport,Education,Education Cost Sharing,173455445
Bridgeport,Education,Public School Transportation,1057790
Bridgeport,Education,Nonpublic School Transportation,420824
Bridgeport,Education,Priority School Districts,6707226
Bridgeport,Education,Extended School Hours,399815
Bridgeport,Education,School Accountability- Summer School,455405
Bridgeport,Education,Youth Service Bureaus,155631
Bridgeport,Education,Adult Education,1875367
Bridgeport,Education,Vocational Agriculture,1458661
Bridgeport,Education,Young Parents Program,50000
Bridgeport,Education,Commissioner's Network,2289999
Bridgeport,Public Health/Social Services,Healthy Foods Initiative,311820
Bridgeport,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,155058
Bridgeport,Public Health/Social Services,Local and District Departments of Health,171852.84
Bridgeport,Public Health/Social Services,Healthy Start,265480
Bridgeport,Public Health/Social Services,Community Services,22694
Bridgeport,Property Tax,Colleges &amp; Hospitals PILOT,7563747.43
Bridgeport,Property Tax,Elderly Circuit Breaker,711591.52
Bridgeport,Property Tax,State Property PILOT,2754073.7
Bridgeport,Property Tax,Veterans' Exemption,33195.87
Bridgeport,Property Tax,Disability Exemption,16935.55
Bridgeport,Property Tax,Pequot Grants,6160636.53
Bridgeport,Property Tax,Elderly Freeze,10000
Bridgeport,Property Tax,DECD Tax Abatement,124635
Bridgeport,Property Tax,Grants For Municipal Projects,970184
Bridgeport,Capital Projects/Transportation,LoCIP,2271379
Bridgeport,Capital Projects/Transportation,Town Aid Road,1379983.18
Bridgeport,Capital Projects/Transportation,Distressed Municipalities,211002.23
Bridgeport,Capital Projects/Transportation,Urban Action Grants,530000
Windsor,Education,Family Resource Center Program,104500
Windsor,Education,Child Nutrition State Match,24156
Windsor,Education,School Construction,836936.07
Windsor,Education,OPEN Choice,6000
Windsor,Education,School Breakfast,26722
Windsor,Education,Magnet Schools,56000
Windsor,Education,Excess Cost- Student Based,1525679
Windsor,Education,Education Cost Sharing,12118457
Windsor,Education,Public School Transportation,229418
Windsor,Education,Nonpublic School Transportation,61429
Windsor,Education,Youth Service Bureaus,26285
Windsor,Education,Adult Education,51698
Windsor,Public Health/Social Services,Healthy Foods Initiative,47067
Windsor,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,45440
Windsor,Public Health/Social Services,Community Services,2698
Windsor,Property Tax,Elderly Circuit Breaker,197149.58
Windsor,Property Tax,State Property PILOT,58247.34
Windsor,Property Tax,Veterans' Exemption,19874.59
Windsor,Property Tax,Disability Exemption,2659.22
Windsor,Property Tax,Pequot Grants,109862.66
Windsor,Property Tax,Grants For Municipal Projects,1242612.31
Windsor,Capital Projects/Transportation,LoCIP,184250
Windsor,Capital Projects/Transportation,Town Aid Road,404298.04
Windsor,Capital Projects/Transportation,Urban Action Grants,0
Windsor,Capital Projects/Transportation,Bus Operations,45239
Windham,Education,Family Resource Center Program,209000
Windham,Education,Child Nutrition State Match,24028
Windham,Education,School Construction,3925044.86
Windham,Education,School Breakfast,24333
Windham,Education,After School Program,188252
Windham,Education,Magnet Schools,1337032
Windham,Education,Bilingual Education,76009
Windham,Education,Excess Cost- Student Based,690200
Windham,Education,Education Cost Sharing,26178300
Windham,Education,Public School Transportation,273234
Windham,Education,Nonpublic School Transportation,45517
Windham,Education,Priority School Districts,1146062
Windham,Education,Extended School Hours,62512
Windham,Education,School Accountability- Summer School,71327
Windham,Education,Adult Education,279895
Windham,Education,Young Parents Program,50000
Windham,Education,Commissioner's Network,500000
Windham,Education,Child Care Services,281164.1
Windham,Public Health/Social Services,Healthy Foods Initiative,47603
Windham,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,41156
Windham,Public Health/Social Services,School-Based Health Centers,478353
Windham,Public Health/Social Services,Community Services,1705
Windham,Property Tax,Colleges &amp; Hospitals PILOT,637832.45
Windham,Property Tax,Elderly Circuit Breaker,121522.99
Windham,Property Tax,State Property PILOT,2787866.09
Windham,Property Tax,Veterans' Exemption,12201.76
Windham,Property Tax,Disability Exemption,4326.78
Windham,Property Tax,Pequot Grants,881840.54
Windham,Property Tax,Elderly Freeze,1166
Windham,Property Tax,DECD PILOT Grant,77882
Windham,Property Tax,Grants For Municipal Projects,435925.12
Windham,Capital Projects/Transportation,LoCIP,246882
Windham,Capital Projects/Transportation,Town Aid Road,370007.23
Windham,Capital Projects/Transportation,Urban Action Grants,0
Winchester,Education,Family Resource Center Program,104500
Winchester,Education,Child Nutrition State Match,5771
Winchester,Education,School Breakfast,9911
Winchester,Education,After School Program,132065
Winchester,Education,Excess Cost- Student Based,1011220
Winchester,Education,Education Cost Sharing,7994038
Winchester,Education,Public School Transportation,78577
Winchester,Education,Nonpublic School Transportation,23486
Winchester,Education,Youth Service Bureaus,22326
Winchester,Education,Adult Education,11564
Winchester,Public Health/Social Services,Healthy Foods Initiative,10134
Winchester,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,29621
Winchester,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Winchester,Capital Projects/Transportation,LoCIP,89720
Winchester,Capital Projects/Transportation,Town Aid Road,302244.66
Winchester,Capital Projects/Transportation,Distressed Municipalities,12601.45
Winchester,Capital Projects/Transportation,Urban Action Grants,0
Winchester,Property Tax,Colleges &amp; Hospitals PILOT,36008.72
Winchester,Property Tax,Elderly Circuit Breaker,64283.21
Winchester,Property Tax,State Property PILOT,75292.39
Winchester,Property Tax,Veterans' Exemption,2644.12
Winchester,Property Tax,Disability Exemption,1280.45
Winchester,Property Tax,Pequot Grants,72704.19
Winchester,Property Tax,Grants For Municipal Projects,287984
West Haven,Education,Family Resource Center Program,104500
West Haven,Education,Child Nutrition State Match,27522
West Haven,Education,School Construction,1571151
West Haven,Education,School Breakfast,31581
West Haven,Education,Magnet Schools,221270
West Haven,Education,Bilingual Education,38305
West Haven,Education,Excess Cost- Student Based,2313346
West Haven,Education,Education Cost Sharing,44094539
West Haven,Education,Public School Transportation,540841
West Haven,Education,Nonpublic School Transportation,112579
West Haven,Education,Youth Service Bureaus,51130
West Haven,Education,Adult Education,219171
West Haven,Education,Child Care Services,320323.88
West Haven,Public Health/Social Services,Healthy Foods Initiative,54708
West Haven,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,157570
West Haven,Public Health/Social Services,Local and District Departments of Health,65462.86
West Haven,Property Tax,Colleges &amp; Hospitals PILOT,6756914.52
West Haven,Property Tax,Elderly Circuit Breaker,369199.47
West Haven,Property Tax,State Property PILOT,18124.7
West Haven,Property Tax,Veterans' Exemption,106355.46
West Haven,Property Tax,Disability Exemption,6712.92
West Haven,Property Tax,Pequot Grants,1009243.26
West Haven,Property Tax,Elderly Freeze,12000
West Haven,Property Tax,Grants For Municipal Projects,196070.65
West Haven,Property Tax,Municipal Aid Adjustment,19662.73
West Haven,Capital Projects/Transportation,LoCIP,594761
West Haven,Capital Projects/Transportation,Town Aid Road,623598.79
West Haven,Capital Projects/Transportation,Urban Action Grants,500000
Waterbury,Education,Family Resource Center Program,313500
Waterbury,Education,Child Nutrition State Match,111146
Waterbury,Education,School Construction,15174063
Waterbury,Education,School Breakfast,99215
Waterbury,Education,After School Program,329273
Waterbury,Education,Magnet Schools,8881715
Waterbury,Education,Bilingual Education,170621
Waterbury,Education,Excess Cost- Student Based,2018630
Waterbury,Education,Education Cost Sharing,127544909
Waterbury,Education,Public School Transportation,1001660
Waterbury,Education,Nonpublic School Transportation,389815
Waterbury,Education,Priority School Districts,2668790
Waterbury,Education,Extended School Hours,335877
Waterbury,Education,School Accountability- Summer School,389635
Waterbury,Education,Adult Education,2202604
Waterbury,Education,Commissioner's Network,1015679
Waterbury,Public Health/Social Services,Healthy Foods Initiative,225069
Waterbury,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,354690
Waterbury,Public Health/Social Services,Local and District Departments of Health,130023.02
Waterbury,Public Health/Social Services,Community Services,6628
Waterbury,Property Tax,Colleges &amp; Hospitals PILOT,5433960.04
Waterbury,Property Tax,Elderly Circuit Breaker,709413.4
Waterbury,Property Tax,State Property PILOT,3735300.8
Waterbury,Property Tax,Veterans' Exemption,153353.97
Waterbury,Property Tax,Disability Exemption,30661.33
Waterbury,Property Tax,Pequot Grants,3037163.05
Waterbury,Property Tax,Elderly Freeze,2000
Waterbury,Property Tax,DECD Tax Abatement,218300
Waterbury,Property Tax,Grants For Municipal Projects,2366443
Waterbury,Capital Projects/Transportation,LoCIP,1228228
Waterbury,Capital Projects/Transportation,Town Aid Road,1083548.21
Waterbury,Capital Projects/Transportation,Distressed Municipalities,199288.9
Waterbury,Capital Projects/Transportation,Urban Action Grants,500000
Tolland,Education,Family Resource Center Program,104500
Tolland,Education,Child Nutrition State Match,10081
Tolland,Education,School Construction,332599.86
Tolland,Education,Magnet Schools,2000
Tolland,Education,Excess Cost- Student Based,1137232
Tolland,Education,Education Cost Sharing,10936789
Tolland,Education,Public School Transportation,132461
Tolland,Education,Youth Service Bureaus,26170
Tolland,Education,Adult Education,9744
Tolland,Public Health/Social Services,Healthy Foods Initiative,20634
Tolland,Capital Projects/Transportation,Small Town Economic Assistance Program (STEAP),500000
Tolland,Capital Projects/Transportation,LoCIP,118428
Tolland,Capital Projects/Transportation,Town Aid Road,339492.68
Tolland,Capital Projects/Transportation,Urban Action Grants,0
Tolland,Capital Projects/Transportation,Bus Operations,29382
Tolland,Property Tax,Elderly Circuit Breaker,71146.8
Tolland,Property Tax,State Property PILOT,48842.01
Tolland,Property Tax,Veterans' Exemption,7874.23
Tolland,Property Tax,Disability Exemption,1649.16
Tolland,Property Tax,Pequot Grants,42068.7
Tolland,Property Tax,Grants For Municipal Projects,80003
Stratford,Education,Family Resource Center Program,104500
Stratford,Education,Child Nutrition State Match,35822
Stratford,Education,School Construction,615396.38
Stratford,Education,OPEN Choice,6000
Stratford,Education,School Breakfast,43194
Stratford,Education,Magnet Schools,68951
Stratford,Education,Excess Cost- Student Based,2171173
Stratford,Education,Education Cost Sharing,21303961
Stratford,Education,Public School Transportation,281498
Stratford,Education,Nonpublic School Transportation,91379
Stratford,Education,Youth Service Bureaus,48214
Stratford,Education,Adult Education,110598
Stratford,Public Health/Social Services,Healthy Foods Initiative,73318
Stratford,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,88356
Stratford,Public Health/Social Services,School-Based Health Centers,163490
Stratford,Public Health/Social Services,Local and District Departments of Health,61243.18
Stratford,Public Health/Social Services,Community Services,1770
Stratford,Property Tax,Elderly Circuit Breaker,545668.28
Stratford,Property Tax,State Property PILOT,367403.05
Stratford,Property Tax,Veterans' Exemption,152730.69
Stratford,Property Tax,Disability Exemption,8870.02
Stratford,Property Tax,Pequot Grants,163807.07
Stratford,Property Tax,Elderly Freeze,6126.5
Stratford,Property Tax,DECD PILOT Grant,64427
Stratford,Property Tax,Grants For Municipal Projects,3298976
Stratford,Capital Projects/Transportation,LoCIP,393196
Stratford,Capital Projects/Transportation,Town Aid Road,597306.68
Stratford,Capital Projects/Transportation,Urban Action Grants,53000
Stratford,Capital Projects/Transportation,Bus Operations,38886
Stafford,Education,Family Resource Center Program,104500
Stafford,Education,Child Nutrition State Match,7137
Stafford,Education,School Construction,-14840
Stafford,Education,School Breakfast,15668
Stafford,Education,After School Program,188252
Stafford,Education,Excess Cost- Student Based,365911
Stafford,Education,Education Cost Sharing,9963666
Stafford,Education,Public School Transportation,248380
Stafford,Education,Nonpublic School Transportation,24223
Stafford,Education,Youth Service Bureaus,25824
Stafford,Education,Adult Education,26241
Stafford,Public Health/Social Services,Healthy Foods Initiative,14039
Stafford,Public Health/Social Services,Nonpublic Health Services/ Health and Welfare Services for Private School Pupils,20460
Stafford,Property Tax,Colleges &amp; Hospitals PILOT,215980.94
Stafford,Property Tax,Elderly Circuit Breaker,94779.66
Stafford,Property Tax,State Property PILOT,49948.23
Stafford,Property Tax,Veterans' Exemption,34259.9
Stafford,Property Tax,Disability Exemption,3145.82
Stafford,Property Tax,Pequot Grants,98522.97
Stafford,Property Tax,Grants For Municipal Projects,426198.51
Stafford,Capital Projects/Transportation,LoCIP,110004
Stafford,Capital Projects/Transportation,Town Aid Road,392422.22
Stafford,Capital Projects/Transportation,Urban Action Grants,0
Stafford,Capital Projects/Transportation,Bus Operations,15531.75
Putnam,Education,Family Resource Center Program,104500
Putnam,Education,Child Nutrition State Match,8074
Putnam,Education,School Breakfast,13016
Putnam,Education,Magnet Schools,22100
Putnam,Education,Excess Cost- Student Based,553162
Putnam,Education,Education Cost Sharing,8463602
Putnam,Education,Public School Transportation,128280
