Town Code,Town Name,Grant Name,Grant Year,Grant Amount
3,Ashford,TOTALLY DISABLED,2010,$591.60
3,Ashford,ELDERLY HOMEOWNERS,2012,"$16,653.89"
3,Ashford,TOTALLY DISABLED,2013,"$1,106.00"
3,Ashford,MFG. MACH. & EQUIP / COMML M.V.,2011,"$2,843.49"
3,Ashford,ELDERLY HOMEOWNERS,2011,"$16,878.99"
3,Ashford,TOTALLY DISABLED,2012,$768.00
3,Ashford,ELDERLY HOMEOWNERS,2010,"$13,834.11"
3,Ashford,TOTALLY DISABLED,2014,"$1,087.54"
3,Ashford,ADDITIONAL VETS,2010,"$1,166.20"
3,Ashford,ELDERLY HOMEOWNERS,2014,"$19,464.29"
3,Ashford,TOTALLY DISABLED,2011,$661.18
3,Ashford,ADDITIONAL VETS,2012,"$1,090.88"
3,Ashford,ADDITIONAL VETS,2011,$974.73
3,Ashford,MASHANTUCKET PEQUOT &  MOHEGAN,2014,"$23,609.85"
3,Ashford,STATE-OWNED PILOT,2014,"$5,628.54"
3,Ashford,STATE-OWNED PILOT,2010,"$6,117.38"
3,Ashford,MASHANTUCKET PEQUOT &  MOHEGAN,2010,"$22,262.04"
3,Ashford,ELECTRIC GENERATION FACILITIES GRANT,2010,$0.00
3,Ashford,COLLEGES & HOSPITALS PILOT,2010,$0.00
3,Ashford,MFG. MACH. & EQUIP / COMML M.V.,2010,"$5,161.54"
3,Ashford,ELDERLY HOMEOWNERS,2013,"$19,050.05"
3,Ashford,STATE-OWNED PILOT,2013,"$5,791.07"
3,Ashford,STATE-OWNED PILOT,2011,"$6,085.64"
3,Ashford,MASHANTUCKET PEQUOT &  MOHEGAN,2013,"$23,043.16"
3,Ashford,ELECTRIC GENERATION FACILITIES GRANT,2012,$0.00
3,Ashford,MASHANTUCKET PEQUOT &  MOHEGAN,2012,"$23,875.48"
3,Ashford,STATE-OWNED PILOT,2012,"$6,002.15"
3,Ashford,ADDITIONAL VETS,2013,"$1,671.22"
3,Ashford,ELECTRIC GENERATION FACILITIES GRANT,2011,$0.00
3,Ashford,MASHANTUCKET PEQUOT &  MOHEGAN,2011,"$22,010.81"
3,Ashford,COLLEGES & HOSPITALS PILOT,2011,$0.00
4,Avon,TOTALLY DISABLED,2010,$889.58
4,Avon,ELDERLY HOMEOWNERS,2012,"$85,495.36"
4,Avon,TOTALLY DISABLED,2013,"$1,061.81"
4,Avon,MFG. MACH. & EQUIP / COMML M.V.,2011,"$213,210.50"
4,Avon,ELDERLY HOMEOWNERS,2011,"$79,725.41"
4,Avon,ELDERLY HOMEOWNERS,2010,"$61,423.77"
4,Avon,TOTALLY DISABLED,2012,"$1,076.72"
4,Avon,TOTALLY DISABLED,2014,"$1,020.11"
4,Avon,ADDITIONAL VETS,2010,"$3,180.01"
4,Avon,ELDERLY HOMEOWNERS,2014,"$79,858.55"
4,Avon,TOTALLY DISABLED,2011,"$1,002.04"
4,Avon,ADDITIONAL VETS,2012,"$5,457.73"
4,Avon,ADDITIONAL VETS,2011,"$4,266.00"
4,Avon,MASHANTUCKET PEQUOT &  MOHEGAN,2014,"$14,906.53"
4,Avon,STATE-OWNED PILOT,2014,"$86,888.52"
4,Avon,STATE-OWNED PILOT,2010,"$63,803.24"
4,Avon,MASHANTUCKET PEQUOT &  MOHEGAN,2010,"$15,581.05"
4,Avon,ELECTRIC GENERATION FACILITIES GRANT,2010,$0.00
4,Avon,COLLEGES & HOSPITALS PILOT,2010,"$9,201.87"
4,Avon,MFG. MACH. & EQUIP / COMML M.V.,2010,"$255,797.15"
4,Avon,COLLEGES & HOSPITALS PILOT,2012,"$3,232.19"
4,Avon,ELDERLY HOMEOWNERS,2013,"$82,870.42"
4,Avon,STATE-OWNED PILOT,2013,"$90,796.11"
4,Avon,STATE-OWNED PILOT,2011,"$92,641.27"
4,Avon,MASHANTUCKET PEQUOT &  MOHEGAN,2013,"$15,458.83"
4,Avon,ELECTRIC GENERATION FACILITIES GRANT,2012,$0.00
4,Avon,MASHANTUCKET PEQUOT &  MOHEGAN,2012,"$15,034.75"
4,Avon,STATE-OWNED PILOT,2012,"$92,464.75"
4,Avon,ADDITIONAL VETS,2013,"$5,183.27"
4,Avon,ELECTRIC GENERATION FACILITIES GRANT,2011,$0.00
4,Avon,MASHANTUCKET PEQUOT &  MOHEGAN,2011,"$14,968.10"
4,Avon,COLLEGES & HOSPITALS PILOT,2011,"$7,283.85"
5,Barkhamsted,TOTALLY DISABLED,2010,$264.36
5,Barkhamsted,ELDERLY HOMEOWNERS,2012,"$19,938.14"
5,Barkhamsted,TOTALLY DISABLED,2013,$247.70
5,Barkhamsted,MFG. MACH. & EQUIP / COMML M.V.,2011,"$33,099.51"
5,Barkhamsted,ELDERLY HOMEOWNERS,2011,"$19,564.04"
5,Barkhamsted,ELDERLY HOMEOWNERS,2010,"$19,454.14"
5,Barkhamsted,TOTALLY DISABLED,2012,$272.04
5,Barkhamsted,TOTALLY DISABLED,2014,$235.12
5,Barkhamsted,ADDITIONAL VETS,2010,"$2,577.51"
5,Barkhamsted,ELDERLY HOMEOWNERS,2014,"$20,482.73"
5,Barkhamsted,TOTALLY DISABLED,2011,$246.29
5,Barkhamsted,ADDITIONAL VETS,2012,"$3,596.86"
5,Barkhamsted,ADDITIONAL VETS,2011,"$2,670.90"
5,Barkhamsted,MASHANTUCKET PEQUOT &  MOHEGAN,2014,"$14,403.18"
5,Barkhamsted,STATE-OWNED PILOT,2014,"$16,897.41"
5,Barkhamsted,STATE-OWNED PILOT,2010,"$13,769.49"
5,Barkhamsted,MASHANTUCKET PEQUOT &  MOHEGAN,2010,"$15,033.85"
5,Barkhamsted,ELECTRIC GENERATION FACILITIES GRANT,2010,$0.00
5,Barkhamsted,COLLEGES & HOSPITALS PILOT,2010,$0.00
5,Barkhamsted,MFG. MACH. & EQUIP / COMML M.V.,2010,"$37,723.76"
5,Barkhamsted,MFG. MACH. & EQUIP / COMML M.V.,2010,"$2,260.34"
5,Barkhamsted,ELDERLY HOMEOWNERS,2013,"$19,978.70"
5,Barkhamsted,STATE-OWNED PILOT,2013,"$17,540.18"
5,Barkhamsted,STATE-OWNED PILOT,2011,"$18,663.34"
5,Barkhamsted,MASHANTUCKET PEQUOT &  MOHEGAN,2013,"$15,078.25"
5,Barkhamsted,ELECTRIC GENERATION FACILITIES GRANT,2012,$0.00
5,Barkhamsted,MASHANTUCKET PEQUOT &  MOHEGAN,2012,"$14,911.13"
5,Barkhamsted,STATE-OWNED PILOT,2012,"$18,346.36"
5,Barkhamsted,ADDITIONAL VETS,2013,"$2,678.93"
5,Barkhamsted,ELECTRIC GENERATION FACILITIES GRANT,2011,$0.00
5,Barkhamsted,MASHANTUCKET PEQUOT &  MOHEGAN,2011,"$14,604.70"
5,Barkhamsted,COLLEGES & HOSPITALS PILOT,2011,$0.00
6,Beacon Falls,TOTALLY DISABLED,2010,"$1,332.65"
6,Beacon Falls,ELDERLY HOMEOWNERS,2012,"$46,979.13"
6,Beacon Falls,TOTALLY DISABLED,2013,"$1,826.34"
6,Beacon Falls,MFG. MACH. & EQUIP / COMML M.V.,2011,"$38,584.53"
6,Beacon Falls,DISTRESSED,2010,"$32,550.67"
6,Beacon Falls,ELDERLY HOMEOWNERS,2011,"$45,546.13"
6,Beacon Falls,ELDERLY HOMEOWNERS,2010,"$42,644.87"
6,Beacon Falls,TOTALLY DISABLED,2012,"$1,366.78"
6,Beacon Falls,TOTALLY DISABLED,2014,"$1,798.78"
6,Beacon Falls,ADDITIONAL VETS,2010,"$8,404.51"
6,Beacon Falls,ELDERLY HOMEOWNERS,2014,"$51,758.70"
6,Beacon Falls,TOTALLY DISABLED,2011,"$1,341.18"
6,Beacon Falls,ADDITIONAL VETS,2012,"$10,663.78"
6,Beacon Falls,ADDITIONAL VETS,2011,"$9,916.16"
6,Beacon Falls,MASHANTUCKET PEQUOT &  MOHEGAN,2014,"$29,537.52"
6,Beacon Falls,STATE-OWNED PILOT,2014,"$45,746.75"
6,Beacon Falls,STATE-OWNED PILOT,2010,"$52,981.05"
6,Beacon Falls,MASHANTUCKET PEQUOT &  MOHEGAN,2010,"$23,053.89"
6,Beacon Falls,ELECTRIC GENERATION FACILITIES GRANT,2010,$0.00
6,Beacon Falls,COLLEGES & HOSPITALS PILOT,2010,$0.00
6,Beacon Falls,MFG. MACH. & EQUIP / COMML M.V.,2010,"$63,309.93"
6,Beacon Falls,ELDERLY HOMEOWNERS,2013,"$49,210.74"
6,Beacon Falls,STATE-OWNED PILOT,2013,"$44,460.18"
6,Beacon Falls,DISTRESSED,2012,"$18,395.05"
6,Beacon Falls,STATE-OWNED PILOT,2011,"$45,046.14"
6,Beacon Falls,MASHANTUCKET PEQUOT &  MOHEGAN,2013,"$28,786.23"
6,Beacon Falls,ELECTRIC GENERATION FACILITIES GRANT,2012,$0.00
6,Beacon Falls,DISTRESSED,2013,"$18,640.54"
6,Beacon Falls,MASHANTUCKET PEQUOT &  MOHEGAN,2012,"$25,489.09"
6,Beacon Falls,STATE-OWNED PILOT,2012,"$45,500.04"
6,Beacon Falls,ADDITIONAL VETS,2013,"$12,128.88"
6,Beacon Falls,ELECTRIC GENERATION FACILITIES GRANT,2011,$0.00
6,Beacon Falls,MASHANTUCKET PEQUOT &  MOHEGAN,2011,"$23,011.82"
6,Beacon Falls,COLLEGES & HOSPITALS PILOT,2011,$0.00
7,Berlin,ELDERLY HOMEOWNERS,2012,"$130,325.40"
7,Berlin,TOTALLY DISABLED,2013,"$2,432.66"
7,Berlin,TOTALLY DISABLED,2010,"$2,200.92"
7,Berlin,MFG. MACH. & EQUIP / COMML M.V.,2011,"$646,079.97"
7,Berlin,ELDERLY HOMEOWNERS,2011,"$129,726.03"
7,Berlin,ELDERLY TAX FREEZE,2010,"$5,247.29"
7,Berlin,ELDERLY TAX FREEZE,2012,"$3,903.30"
7,Berlin,ELDERLY HOMEOWNERS,2010,"$128,373.38"
7,Berlin,TOTALLY DISABLED,2012,"$2,515.90"
7,Berlin,TOTALLY DISABLED,2014,"$2,610.87"
7,Berlin,ADDITIONAL VETS,2010,"$12,818.48"
7,Berlin,ELDERLY HOMEOWNERS,2014,"$111,693.21"
7,Berlin,TOTALLY DISABLED,2011,"$2,435.94"
7,Berlin,ELDERLY TAX FREEZE,2014,"$2,000.00"
7,Berlin,ADDITIONAL VETS,2011,"$13,389.68"
7,Berlin,MASHANTUCKET PEQUOT &  MOHEGAN,2014,"$48,352.73"
7,Berlin,ELDERLY TAX FREEZE,2011,"$4,413.29"
7,Berlin,STATE-OWNED PILOT,2014,"$24,302.41"
7,Berlin,ADDITIONAL VETS,2012,"$14,609.54"
7,Berlin,STATE-OWNED PILOT,2010,"$26,999.02"
7,Berlin,MASHANTUCKET PEQUOT &  MOHEGAN,2010,"$52,550.76"
7,Berlin,ELECTRIC GENERATION FACILITIES GRANT,2010,$0.00
7,Berlin,COLLEGES & HOSPITALS PILOT,2010,$0.00
7,Berlin,MFG. MACH. & EQUIP / COMML M.V.,2010,"$755,421.79"
7,Berlin,ADDITIONAL VETS,2013,"$13,526.46"
7,Berlin,ELDERLY HOMEOWNERS,2013,"$121,168.32"
7,Berlin,STATE-OWNED PILOT,2013,"$25,341.85"
7,Berlin,STATE-OWNED PILOT,2011,"$25,151.40"
7,Berlin,MASHANTUCKET PEQUOT &  MOHEGAN,2013,"$50,526.60"
7,Berlin,ELDERLY TAX FREEZE,2013,"$2,000.00"
7,Berlin,ELECTRIC GENERATION FACILITIES GRANT,2012,$0.00
7,Berlin,MASHANTUCKET PEQUOT &  MOHEGAN,2012,"$57,253.55"
7,Berlin,STATE-OWNED PILOT,2012,"$25,505.15"
7,Berlin,ELECTRIC GENERATION FACILITIES GRANT,2011,$0.00
7,Berlin,MASHANTUCKET PEQUOT &  MOHEGAN,2011,"$52,965.34"
7,Berlin,COLLEGES & HOSPITALS PILOT,2011,$0.00
8,Bethany,ELDERLY HOMEOWNERS,2012,"$31,784.56"
8,Bethany,TOTALLY DISABLED,2013,$219.80
8,Bethany,TOTALLY DISABLED,2010,$216.00
8,Bethany,MFG. MACH. & EQUIP / COMML M.V.,2011,"$54,901.43"
8,Bethany,ELDERLY HOMEOWNERS,2011,"$35,295.75"
8,Bethany,ELDERLY HOMEOWNERS,2010,"$33,263.56"
8,Bethany,TOTALLY DISABLED,2012,$224.48
8,Bethany,TOTALLY DISABLED,2014,$234.72
8,Bethany,ADDITIONAL VETS,2010,"$4,557.87"
8,Bethany,ELDERLY HOMEOWNERS,2014,"$31,843.09"
8,Bethany,TOTALLY DISABLED,2011,$220.40
8,Bethany,COLLEGES & HOSPITALS PILOT,2014,"$15,055.77"
8,Bethany,ADDITIONAL VETS,2011,"$4,132.50"
8,Bethany,MASHANTUCKET PEQUOT &  MOHEGAN,2014,"$17,533.15"
8,Bethany,STATE-OWNED PILOT,2014,"$34,257.90"
8,Bethany,ADDITIONAL VETS,2012,"$3,639.12"
8,Bethany,STATE-OWNED PILOT,2010,"$36,770.28"
8,Bethany,MASHANTUCKET PEQUOT &  MOHEGAN,2010,"$17,837.93"
8,Bethany,ELECTRIC GENERATION FACILITIES GRANT,2010,$0.00
8,Bethany,COLLEGES & HOSPITALS PILOT,2010,"$20,792.81"
8,Bethany,MFG. MACH. & EQUIP / COMML M.V.,2010,"$85,479.13"
8,Bethany,COLLEGES & HOSPITALS PILOT,2012,"$17,182.21"
8,Bethany,ADDITIONAL VETS,2013,"$5,156.14"
8,Bethany,ELDERLY HOMEOWNERS,2013,"$30,952.18"
8,Bethany,STATE-OWNED PILOT,2013,"$36,053.81"
8,Bethany,STATE-OWNED PILOT,2011,"$37,861.91"
8,Bethany,MASHANTUCKET PEQUOT &  MOHEGAN,2013,"$17,952.27"
8,Bethany,ELECTRIC GENERATION FACILITIES GRANT,2012,$0.00
8,Bethany,COLLEGES & HOSPITALS PILOT,2013,"$16,483.79"
8,Bethany,MASHANTUCKET PEQUOT &  MOHEGAN,2012,"$18,185.02"
8,Bethany,STATE-OWNED PILOT,2012,"$36,934.01"
8,Bethany,ELECTRIC GENERATION FACILITIES GRANT,2011,$0.00
8,Bethany,MASHANTUCKET PEQUOT &  MOHEGAN,2011,"$17,298.82"
8,Bethany,COLLEGES & HOSPITALS PILOT,2011,"$19,074.47"
9,Bethel,ELDERLY HOMEOWNERS,2012,"$109,405.27"
9,Bethel,TOTALLY DISABLED,2013,"$1,829.67"
9,Bethel,TOTALLY DISABLED,2010,"$1,363.32"
9,Bethel,MFG. MACH. & EQUIP / COMML M.V.,2011,"$229,947.61"
9,Bethel,ELDERLY HOMEOWNERS,2011,"$113,546.70"
9,Bethel,ELDERLY HOMEOWNERS,2010,"$114,500.01"
9,Bethel,TOTALLY DISABLED,2012,"$1,809.00"
9,Bethel,TOTALLY DISABLED,2014,"$2,248.04"
9,Bethel,ADDITIONAL VETS,2010,"$7,256.12"
9,Bethel,ELDERLY HOMEOWNERS,2014,"$125,430.36"
9,Bethel,TOTALLY DISABLED,2011,"$1,605.02"
9,Bethel,ADDITIONAL VETS,2011,"$7,637.24"
9,Bethel,COLLEGES & HOSPITALS PILOT,2014,"$15,782.82"
9,Bethel,MASHANTUCKET PEQUOT &  MOHEGAN,2014,"$46,704.29"
9,Bethel,STATE-OWNED PILOT,2014,"$25,209.82"
9,Bethel,ADDITIONAL VETS,2012,"$8,407.27"
9,Bethel,STATE-OWNED PILOT,2010,"$27,140.34"
9,Bethel,MASHANTUCKET PEQUOT &  MOHEGAN,2010,"$42,944.65"
9,Bethel,ELECTRIC GENERATION FACILITIES GRANT,2010,$0.00
9,Bethel,COLLEGES & HOSPITALS PILOT,2010,"$20,200.54"
9,Bethel,MFG. MACH. & EQUIP / COMML M.V.,2010,"$252,136.99"
9,Bethel,COLLEGES & HOSPITALS PILOT,2012,"$17,395.62"
9,Bethel,ADDITIONAL VETS,2013,"$7,921.60"
9,Bethel,ELDERLY HOMEOWNERS,2013,"$121,368.17"
9,Bethel,STATE-OWNED PILOT,2013,"$26,054.55"
9,Bethel,STATE-OWNED PILOT,2011,"$26,355.19"
9,Bethel,MASHANTUCKET PEQUOT &  MOHEGAN,2013,"$49,370.36"
9,Bethel,ELECTRIC GENERATION FACILITIES GRANT,2012,$0.00
9,Bethel,COLLEGES & HOSPITALS PILOT,2013,"$16,969.34"
9,Bethel,MASHANTUCKET PEQUOT &  MOHEGAN,2012,"$47,726.62"
9,Bethel,STATE-OWNED PILOT,2012,"$26,249.30"
9,Bethel,ELECTRIC GENERATION FACILITIES GRANT,2011,$0.00
9,Bethel,MASHANTUCKET PEQUOT &  MOHEGAN,2011,"$42,356.59"
9,Bethel,COLLEGES & HOSPITALS PILOT,2011,"$19,002.28"
10,Bethlehem,ELDERLY HOMEOWNERS,2012,"$32,485.84"
10,Bethlehem,TOTALLY DISABLED,2013,$118.41
10,Bethlehem,TOTALLY DISABLED,2010,$128.46
10,Bethlehem,MFG. MACH. & EQUIP / COMML M.V.,2011,"$6,304.58"
10,Bethlehem,ELDERLY HOMEOWNERS,2011,"$27,194.76"
10,Bethlehem,ELDERLY HOMEOWNERS,2010,"$26,359.22"
10,Bethlehem,TOTALLY DISABLED,2012,$144.69
10,Bethlehem,TOTALLY DISABLED,2014,$108.37
10,Bethlehem,ADDITIONAL VETS,2010,"$2,794.02"
10,Bethlehem,ELDERLY HOMEOWNERS,2014,"$31,587.30"
10,Bethlehem,TOTALLY DISABLED,2011,$127.50
10,Bethlehem,ADDITIONAL VETS,2011,"$2,445.89"
10,Bethlehem,MASHANTUCKET PEQUOT &  MOHEGAN,2014,"$12,917.32"
10,Bethlehem,STATE-OWNED PILOT,2014,"$1,114.58"
10,Bethlehem,ADDITIONAL VETS,2012,"$3,521.83"
10,Bethlehem,STATE-OWNED PILOT,2010,"$1,191.63"
10,Bethlehem,MASHANTUCKET PEQUOT &  MOHEGAN,2010,"$13,313.31"
10,Bethlehem,ELECTRIC GENERATION FACILITIES GRANT,2010,$0.00
10,Bethlehem,COLLEGES & HOSPITALS PILOT,2010,$0.00
10,Bethlehem,MFG. MACH. & EQUIP / COMML M.V.,2010,"$9,402.89"
10,Bethlehem,ADDITIONAL VETS,2013,"$4,336.38"
10,Bethlehem,ELDERLY HOMEOWNERS,2013,"$31,107.91"
10,Bethlehem,STATE-OWNED PILOT,2013,"$1,203.08"
10,Bethlehem,STATE-OWNED PILOT,2011,"$1,359.58"
10,Bethlehem,MASHANTUCKET PEQUOT &  MOHEGAN,2013,"$13,377.41"
10,Bethlehem,ELECTRIC GENERATION FACILITIES GRANT,2012,$0.00
10,Bethlehem,MASHANTUCKET PEQUOT &  MOHEGAN,2012,"$13,298.41"
10,Bethlehem,STATE-OWNED PILOT,2012,"$1,290.45"
10,Bethlehem,ELECTRIC GENERATION FACILITIES GRANT,2011,$0.00
10,Bethlehem,MASHANTUCKET PEQUOT &  MOHEGAN,2011,"$12,928.10"
10,Bethlehem,COLLEGES & HOSPITALS PILOT,2011,$0.00
11,Bloomfield,TOTALLY DISABLED,2013,"$1,596.54"
11,Bloomfield,TOTALLY DISABLED,2010,"$1,563.32"
11,Bloomfield,MFG. MACH. & EQUIP / COMML M.V.,2011,"$1,440,606.07"
11,Bloomfield,ELDERLY HOMEOWNERS,2012,"$142,893.57"
11,Bloomfield,DISTRESSED,2010,"$43,751.00"
11,Bloomfield,ELDERLY HOMEOWNERS,2011,"$138,191.54"
11,Bloomfield,ELDERLY TAX FREEZE,2010,"$2,000.00"
11,Bloomfield,ELDERLY TAX FREEZE,2012,$166.00
11,Bloomfield,ELDERLY HOMEOWNERS,2010,"$157,070.31"
11,Bloomfield,TOTALLY DISABLED,2012,"$1,651.30"
11,Bloomfield,TOTALLY DISABLED,2014,"$1,565.96"
11,Bloomfield,ADDITIONAL VETS,2010,"$11,980.33"
11,Bloomfield,ELDERLY HOMEOWNERS,2014,"$137,463.85"
11,Bloomfield,TOTALLY DISABLED,2011,"$1,374.24"
11,Bloomfield,ADDITIONAL VETS,2011,"$9,972.60"
11,Bloomfield,COLLEGES & HOSPITALS PILOT,2014,"$195,473.41"
11,Bloomfield,MASHANTUCKET PEQUOT &  MOHEGAN,2014,"$156,845.91"
11,Bloomfield,ELDERLY TAX FREEZE,2011,"$2,000.00"
11,Bloomfield,STATE-OWNED PILOT,2014,"$119,017.14"
11,Bloomfield,ADDITIONAL VETS,2012,"$12,487.35"
11,Bloomfield,STATE-OWNED PILOT,2010,"$124,989.34"
11,Bloomfield,MASHANTUCKET PEQUOT &  MOHEGAN,2010,"$155,145.35"
11,Bloomfield,ELECTRIC GENERATION FACILITIES GRANT,2010,$0.00
11,Bloomfield,COLLEGES & HOSPITALS PILOT,2010,"$161,659.50"
11,Bloomfield,MFG. MACH. & EQUIP / COMML M.V.,2010,"$1,635,194.51"
11,Bloomfield,COLLEGES & HOSPITALS PILOT,2012,"$218,857.51"
11,Bloomfield,ADDITIONAL VETS,2013,"$12,437.09"
11,Bloomfield,ELDERLY HOMEOWNERS,2013,"$138,668.32"
11,Bloomfield,STATE-OWNED PILOT,2013,"$129,311.41"
11,Bloomfield,DISTRESSED,2012,"$18,795.59"
11,Bloomfield,STATE-OWNED PILOT,2011,"$117,252.30"
11,Bloomfield,MASHANTUCKET PEQUOT &  MOHEGAN,2013,"$157,183.34"
11,Bloomfield,ELECTRIC GENERATION FACILITIES GRANT,2012,$0.00
11,Bloomfield,COLLEGES & HOSPITALS PILOT,2013,"$212,319.59"
11,Bloomfield,DISTRESSED,2013,"$11,245.96"
11,Bloomfield,MASHANTUCKET PEQUOT &  MOHEGAN,2012,"$158,907.04"
11,Bloomfield,STATE-OWNED PILOT,2012,"$130,970.07"
11,Bloomfield,ELECTRIC GENERATION FACILITIES GRANT,2011,$0.00
11,Bloomfield,MASHANTUCKET PEQUOT &  MOHEGAN,2011,"$155,903.37"
11,Bloomfield,COLLEGES & HOSPITALS PILOT,2011,"$150,557.31"
12,Bolton,TOTALLY DISABLED,2013,$688.52
12,Bolton,TOTALLY DISABLED,2010,$507.24
12,Bolton,MFG. MACH. & EQUIP / COMML M.V.,2011,"$19,812.45"
12,Bolton,ELDERLY HOMEOWNERS,2012,"$37,129.69"
12,Bolton,ELDERLY HOMEOWNERS,2011,"$38,516.01"
12,Bolton,ELDERLY HOMEOWNERS,2010,"$33,727.97"
12,Bolton,TOTALLY DISABLED,2012,$645.26
12,Bolton,TOTALLY DISABLED,2014,$709.22
12,Bolton,ADDITIONAL VETS,2010,"$7,676.40"
12,Bolton,ELDERLY HOMEOWNERS,2014,"$31,702.95"
12,Bolton,TOTALLY DISABLED,2011,$550.04
12,Bolton,ADDITIONAL VETS,2011,"$6,381.13"
12,Bolton,MASHANTUCKET PEQUOT &  MOHEGAN,2014,"$17,834.75"
12,Bolton,STATE-OWNED PILOT,2014,"$38,025.35"
12,Bolton,ADDITIONAL VETS,2012,"$4,752.38"
