"Town","FIPS","Indicator","Measure Type","Variable","2005","2006","2007","2008","2009","2010","2011","2012"
"Avon","0900302060","Referrals","Number","Birth to Three Indicators",27,20,32,32,26,25,28,25
"Avon","0900302060","Referrals","Percent","Birth to Three Indicators",18,12.99,25,24.81,20.8,20.66,25.23,20.49
"Avon","0900302060","Referred that are Evaluated","Percent","Birth to Three Indicators",92.59,95,100,93.75,88.46,100,96.43,96
"Avon","0900302060","Total Eligible","Number","Birth to Three Indicators",12,15,23,17,18,16,15,17
"Avon","0900302060","Total Eligible","Percent","Birth to Three Indicators",8,9.74,17.97,13.18,14.4,13.22,13.51,13.93
"Avon","0900302060","Total Served","Number","Birth to Three Indicators",11,14,22,15,15,15,13,12
"Avon","0900302060","Total Served","Percent","Birth to Three Indicators",7.33,9.09,17.19,11.63,12,12.4,11.71,9.84
"Beacon Falls","0900903250","Evaluations","Number","Birth to Three Indicators",9,7,12,11,8,7,6,11
"Beacon Falls","0900903250","Evaluations","Percent","Birth to Three Indicators",13.24,10.77,16.44,19.64,13.56,13.73,16.22,25.58
"Beacon Falls","0900903250","Referrals","Number","Birth to Three Indicators",9,7,12,11,8,8,6,11
"Beacon Falls","0900903250","Referrals","Percent","Birth to Three Indicators",13.24,10.77,16.44,19.64,13.56,15.69,16.22,25.58
"Beacon Falls","0900903250","Referred that are Evaluated","Percent","Birth to Three Indicators",100,100,100,100,100,87.5,100,100
"Berlin","0900304300","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",59.09,50,35.29,46.67,35.29,71.43,68.75,40
"Berlin","0900304300","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,90,82.35,100,76.47,100,93.75,96
"Berlin","0900304300","Evaluated that are Eligible","Percent","Birth to Three Indicators",66.67,74.07,58.62,60,77.27,56,69.57,80.65
"Berlin","0900304300","Evaluations","Number","Birth to Three Indicators",33,27,29,25,22,25,23,31
"Berlin","0900304300","Evaluations","Percent","Birth to Three Indicators",17.1,16.46,19.59,16.13,15.28,17.73,16.55,21.38
"Berlin","0900304300","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",13,10,6,7,6,10,11,10
"Berlin","0900304300","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",6.74,6.1,4.05,4.52,4.17,7.09,7.91,6.9
"Berlin","0900304300","IFSP Receiving Services","Percent","Birth to Three Indicators",100,100,100,100,92.31,100,100,95.83
"Berlin","0900304300","Individualized Family Service Plans","Number","Birth to Three Indicators",22,18,14,15,13,14,15,24
"Berlin","0900304300","Individualized Family Service Plans","Percent","Birth to Three Indicators",11.4,10.98,9.46,9.68,9.03,9.93,10.79,16.55
"Berlin","0900304300","Referrals","Number","Birth to Three Indicators",37,30,32,28,22,28,24,31
"Berlin","0900304300","Referrals","Percent","Birth to Three Indicators",19.17,18.29,21.62,18.06,15.28,19.86,17.27,21.38
"Berlin","0900304300","Referred that are Evaluated","Percent","Birth to Three Indicators",89.19,90,90.62,89.29,100,89.29,95.83,100
"Berlin","0900304300","Total Eligible","Number","Birth to Three Indicators",22,20,17,15,17,14,16,25
"Berlin","0900304300","Total Eligible","Percent","Birth to Three Indicators",11.4,12.2,11.49,9.68,11.81,9.93,11.51,17.24
"Berlin","0900304300","Total Served","Number","Birth to Three Indicators",22,18,14,15,12,14,15,23
"Berlin","0900304300","Total Served","Percent","Birth to Three Indicators",11.4,10.98,9.46,9.68,8.33,9.93,10.79,15.86
"Bethel","0900104720","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",39.13,58.62,45,33.33,33.33,50,44.44,37.5
"Bethel","0900104720","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,100,100,100,95.83,100,94.44,100
"Bethel","0900104720","Evaluated that are Eligible","Percent","Birth to Three Indicators",63.89,82.86,66.67,63.16,58.54,47.37,58.06,72.73
"Bethel","0900104720","Evaluations","Number","Birth to Three Indicators",36,35,30,38,41,38,31,44
"Bethel","0900104720","Evaluations","Percent","Birth to Three Indicators",19.15,16.67,13.57,19.9,22.65,22.49,18.56,28.95
"Bethel","0900104720","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",9,17,9,8,8,9,8,12
"Bethel","0900104720","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",4.79,8.1,4.07,4.19,4.42,5.33,4.79,7.89
"Bethel","0900104720","IFSP Receiving Services","Percent","Birth to Three Indicators",95.65,100,100,91.67,100,100,100,96.88
"Bethel","0900104720","Individualized Family Service Plans","Number","Birth to Three Indicators",23,29,20,24,23,18,17,32
"Bethel","0900104720","Individualized Family Service Plans","Percent","Birth to Three Indicators",12.23,13.81,9.05,12.57,12.71,10.65,10.18,21.05
"Bethel","0900104720","Referrals","Number","Birth to Three Indicators",38,37,32,39,42,39,34,44
"Bethel","0900104720","Referrals","Percent","Birth to Three Indicators",20.21,17.62,14.48,20.42,23.2,23.08,20.36,28.95
"Bethel","0900104720","Referred that are Evaluated","Percent","Birth to Three Indicators",94.74,94.59,93.75,97.44,97.62,97.44,91.18,100
"Bethel","0900104720","Total Eligible","Number","Birth to Three Indicators",23,29,20,24,24,18,18,32
"Bethel","0900104720","Total Eligible","Percent","Birth to Three Indicators",12.23,13.81,9.05,12.57,13.26,10.65,10.78,21.05
"Bethel","0900104720","Total Served","Number","Birth to Three Indicators",22,29,20,22,23,18,17,31
"Bethel","0900104720","Total Served","Percent","Birth to Three Indicators",11.7,13.81,9.05,11.52,12.71,10.65,10.18,20.39
"Bloomfield","0900305910","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",58.82,36.84,58.82,63.64,63.16,45.83,36.84,31.58
"Bloomfield","0900305910","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",88.24,73.68,94.12,100,94.74,87.5,84.21,89.47
"Bloomfield","0900305910","Evaluated that are Eligible","Percent","Birth to Three Indicators",65.38,65.52,58.62,52.38,63.33,70.59,73.08,67.86
"Bloomfield","0900305910","Evaluations","Number","Birth to Three Indicators",26,29,29,21,30,34,26,28
"Bloomfield","0900305910","Evaluations","Percent","Birth to Three Indicators",15.57,15.76,16.02,11.35,16.67,16.83,15.66,15.56
"Bloomfield","0900305910","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",10,7,10,7,12,11,7,6
"Bloomfield","0900305910","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",5.99,3.8,5.52,3.78,6.67,5.45,4.22,3.33
"Bloomfield","0900305910","IFSP Receiving Services","Percent","Birth to Three Indicators",80,92.86,87.5,100,88.89,100,100,94.12
"Bloomfield","0900305910","Individualized Family Service Plans","Number","Birth to Three Indicators",15,14,16,11,18,21,16,17
"Bloomfield","0900305910","Individualized Family Service Plans","Percent","Birth to Three Indicators",8.98,7.61,8.84,5.95,10,10.4,9.64,9.44
"Bloomfield","0900305910","Referrals","Number","Birth to Three Indicators",29,33,30,23,32,37,27,29
"Bloomfield","0900305910","Referrals","Percent","Birth to Three Indicators",17.37,17.93,16.57,12.43,17.78,18.32,16.27,16.11
"Bloomfield","0900305910","Referred that are Evaluated","Percent","Birth to Three Indicators",89.66,87.88,96.67,91.3,93.75,91.89,96.3,96.55
"Bloomfield","0900305910","Total Eligible","Number","Birth to Three Indicators",17,19,17,11,19,24,19,19
"Bloomfield","0900305910","Total Eligible","Percent","Birth to Three Indicators",10.18,10.33,9.39,5.95,10.56,11.88,11.45,10.56
"Bloomfield","0900305910","Total Served","Number","Birth to Three Indicators",12,13,14,11,16,21,16,16
"Bloomfield","0900305910","Total Served","Percent","Birth to Three Indicators",7.19,7.07,7.73,5.95,8.89,10.4,9.64,8.89
"Branford","0900907310","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",65.38,57.14,50,36,41.38,45.83,40.91,52.63
"Branford","0900907310","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",103.85,100,96.43,88,93.1,83.33,90.91,100
"Branford","0900907310","Evaluated that are Eligible","Percent","Birth to Three Indicators",68.42,51.85,68.29,55.56,80.56,55.81,61.11,59.38
"Branford","0900907310","Evaluations","Number","Birth to Three Indicators",38,27,41,45,36,43,36,32
"Branford","0900907310","Evaluations","Percent","Birth to Three Indicators",16.17,11.3,15.13,19.15,16.98,18.94,17.48,13.45
"Branford","0900907310","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",17,8,14,9,12,11,9,10
"Branford","0900907310","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",7.23,3.35,5.17,3.83,5.66,4.85,4.37,4.2
"Branford","0900907310","IFSP Receiving Services","Percent","Birth to Three Indicators",92.59,92.86,100,95.45,92.59,100,100,89.47
"Branford","0900907310","Individualized Family Service Plans","Number","Birth to Three Indicators",27,14,27,22,27,20,20,19
"Branford","0900907310","Individualized Family Service Plans","Percent","Birth to Three Indicators",11.49,5.86,9.96,9.36,12.74,8.81,9.71,7.98
"Branford","0900907310","Referrals","Number","Birth to Three Indicators",41,29,41,48,37,44,38,34
"Branford","0900907310","Referrals","Percent","Birth to Three Indicators",17.45,12.13,15.13,20.43,17.45,19.38,18.45,14.29
"Branford","0900907310","Referred that are Evaluated","Percent","Birth to Three Indicators",92.68,93.1,100,93.75,97.3,97.73,94.74,94.12
"Branford","0900907310","Total Eligible","Number","Birth to Three Indicators",26,14,28,25,29,24,22,19
"Branford","0900907310","Total Eligible","Percent","Birth to Three Indicators",11.06,5.86,10.33,10.64,13.68,10.57,10.68,7.98
"Branford","0900907310","Total Served","Number","Birth to Three Indicators",25,13,27,21,25,20,20,17
"Branford","0900907310","Total Served","Percent","Birth to Three Indicators",10.64,5.44,9.96,8.94,11.79,8.81,9.71,7.14
"Bridgeport","0900108070","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",52.13,56.22,59,48.86,58.96,58.58,48.83,48.83
"Bridgeport","0900108070","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",93.84,97.19,96.23,96.21,95.9,97.07,95.31,95.31
"Bridgeport","0900108070","Evaluated that are Eligible","Percent","Birth to Three Indicators",71.04,69.55,66.39,67.69,66.5,66.57,64.97,69.38
"Bridgeport","0900108070","Evaluations","Number","Birth to Three Indicators",297,358,360,390,403,359,394,369
"Bridgeport","0900108070","Evaluations","Percent","Birth to Three Indicators",12.69,14.37,15.47,16.7,17.27,16.5,17.43,17.37
"Bridgeport","0900108070","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",110,140,141,129,158,140,125,125
"Bridgeport","0900108070","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",4.7,5.62,6.06,5.52,6.77,6.43,5.53,5.89
"Bridgeport","0900108070","IFSP Receiving Services","Percent","Birth to Three Indicators",92.42,93.8,96.52,95.28,94.55,97.41,96.72,100
"Bridgeport","0900108070","Individualized Family Service Plans","Number","Birth to Three Indicators",198,242,230,254,257,232,244,244
"Bridgeport","0900108070","Individualized Family Service Plans","Percent","Birth to Three Indicators",8.46,9.71,9.88,10.87,11.01,10.66,10.79,11.49
"Bridgeport","0900108070","Referrals","Number","Birth to Three Indicators",319,387,385,420,428,380,420,399
"Bridgeport","0900108070","Referrals","Percent","Birth to Three Indicators",13.63,15.54,16.54,17.98,18.34,17.46,18.58,18.79
"Bridgeport","0900108070","Referred that are Evaluated","Percent","Birth to Three Indicators",93.1,92.51,93.51,92.86,94.16,94.47,93.81,92.48
"Bridgeport","0900108070","Total Eligible","Number","Birth to Three Indicators",211,249,239,264,268,239,256,256
"Bridgeport","0900108070","Total Eligible","Percent","Birth to Three Indicators",9.02,10,10.27,11.3,11.48,10.98,11.32,12.05
"Bridgeport","0900108070","Total Served","Number","Birth to Three Indicators",183,227,222,242,243,226,236,244
"Bridgeport","0900108070","Total Served","Percent","Birth to Three Indicators",7.82,9.11,9.54,10.36,10.41,10.39,10.44,11.49
"Bristol","0900308490","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",49.4,56.52,52.05,42.86,51.19,44.71,52.04,47.37
"Bristol","0900308490","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",97.59,94.2,97.26,93.51,91.67,97.65,93.88,92.63
"Bristol","0900308490","Evaluated that are Eligible","Percent","Birth to Three Indicators",58.04,56.56,61.34,64.71,67.2,70.25,74.24,69.34
"Bristol","0900308490","Evaluations","Number","Birth to Three Indicators",143,122,119,119,125,121,132,137
"Bristol","0900308490","Evaluations","Percent","Birth to Three Indicators",18.01,16.92,15.78,17.15,19.26,18.17,20.03,20.98
"Bristol","0900308490","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",41,39,38,33,43,38,51,45
"Bristol","0900308490","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",5.16,5.41,5.04,4.76,6.63,5.71,7.74,6.89
"Bristol","0900308490","IFSP Receiving Services","Percent","Birth to Three Indicators",97.53,100,98.59,98.61,100,95.18,92.39,97.73
"Bristol","0900308490","Individualized Family Service Plans","Number","Birth to Three Indicators",81,65,71,72,77,83,92,88
"Bristol","0900308490","Individualized Family Service Plans","Percent","Birth to Three Indicators",10.2,9.02,9.42,10.37,11.86,12.46,13.96,13.48
"Bristol","0900308490","Referrals","Number","Birth to Three Indicators",157,133,131,125,136,128,144,144
"Bristol","0900308490","Referrals","Percent","Birth to Three Indicators",19.77,18.45,17.37,18.01,20.96,19.22,21.85,22.05
"Bristol","0900308490","Referred that are Evaluated","Percent","Birth to Three Indicators",91.08,91.73,90.84,95.2,91.91,94.53,91.67,95.14
"Bristol","0900308490","Total Eligible","Number","Birth to Three Indicators",83,69,73,77,84,85,98,95
"Bristol","0900308490","Total Eligible","Percent","Birth to Three Indicators",10.45,9.57,9.68,11.1,12.94,12.76,14.87,14.55
"Bristol","0900308490","Total Served","Number","Birth to Three Indicators",79,65,70,71,77,79,85,86
"Bristol","0900308490","Total Served","Percent","Birth to Three Indicators",9.95,9.02,9.28,10.23,11.86,11.86,12.9,13.17
"Brookfield","0900108980","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",52,33.33,43.75,38.1,50,61.54,52.94,42.11
"Brookfield","0900108980","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",96,95.24,100,100,100,100,100,100
"Brookfield","0900108980","Evaluated that are Eligible","Percent","Birth to Three Indicators",65.79,58.33,80,67.74,73.68,66.67,70.83,73.08
"Brookfield","0900108980","Evaluations","Number","Birth to Three Indicators",38,36,40,31,19,39,24,26
"Brookfield","0900108980","Evaluations","Percent","Birth to Three Indicators",23.75,21.95,26.49,22.46,15.32,29.32,18.75,23.64
"Brookfield","0900108980","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",13,7,14,8,7,16,9,8
"Brookfield","0900108980","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",8.12,4.27,9.27,5.8,5.65,12.03,7.03,7.27
"Brookfield","0900108980","IFSP Receiving Services","Percent","Birth to Three Indicators",100,95,96.88,100,92.86,100,88.24,100
"Brookfield","0900108980","Individualized Family Service Plans","Number","Birth to Three Indicators",24,20,32,21,14,26,17,19
"Brookfield","0900108980","Individualized Family Service Plans","Percent","Birth to Three Indicators",15,12.2,21.19,15.22,11.29,19.55,13.28,17.27
"Brookfield","0900108980","Referrals","Number","Birth to Three Indicators",40,39,42,32,20,40,28,26
"Brookfield","0900108980","Referrals","Percent","Birth to Three Indicators",25,23.78,27.81,23.19,16.13,30.08,21.88,23.64
"Brookfield","0900108980","Referred that are Evaluated","Percent","Birth to Three Indicators",95,92.31,95.24,96.88,95,97.5,85.71,100
"Brookfield","0900108980","Total Eligible","Number","Birth to Three Indicators",25,21,32,21,14,26,17,19
"Brookfield","0900108980","Total Eligible","Percent","Birth to Three Indicators",15.62,12.8,21.19,15.22,11.29,19.55,13.28,17.27
"Brookfield","0900108980","Total Served","Number","Birth to Three Indicators",24,19,31,21,13,26,15,19
"Brookfield","0900108980","Total Served","Percent","Birth to Three Indicators",15,11.59,20.53,15.22,10.48,19.55,11.72,17.27
"Brooklyn","0901509190","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,85.71,100,95,90.91,80,100,100
"Brooklyn","0901509190","Evaluated that are Eligible","Percent","Birth to Three Indicators",70.59,53.85,72.22,90.91,84.62,58.82,61.54,71.43
"Brooklyn","0901509190","Evaluations","Number","Birth to Three Indicators",17,13,18,22,13,17,13,14
"Brooklyn","0901509190","Evaluations","Percent","Birth to Three Indicators",17.53,16.88,27.27,25,18.84,22.97,16.25,21.21
"Brooklyn","0901509190","Individualized Family Service Plans","Number","Birth to Three Indicators",12,6,13,19,10,8,8,10
"Brooklyn","0901509190","Individualized Family Service Plans","Percent","Birth to Three Indicators",12.37,7.79,19.7,21.59,14.49,10.81,10,15.15
"Brooklyn","0901509190","Referrals","Number","Birth to Three Indicators",18,15,19,23,17,19,16,17
"Brooklyn","0901509190","Referrals","Percent","Birth to Three Indicators",18.56,19.48,28.79,26.14,24.64,25.68,20,25.76
"Brooklyn","0901509190","Referred that are Evaluated","Percent","Birth to Three Indicators",94.44,86.67,94.74,95.65,76.47,89.47,81.25,82.35
"Brooklyn","0901509190","Total Eligible","Number","Birth to Three Indicators",12,7,13,20,11,10,8,10
"Brooklyn","0901509190","Total Eligible","Percent","Birth to Three Indicators",12.37,9.09,19.7,22.73,15.94,13.51,10,15.15
"Burlington","0900310100","Evaluations","Number","Birth to Three Indicators",20,24,23,14,11,7,9,16
"Burlington","0900310100","Evaluations","Percent","Birth to Three Indicators",18.18,24.24,23.47,16.09,14.29,11.86,12.86,18.18
"Burlington","0900310100","Referrals","Number","Birth to Three Indicators",22,26,24,15,11,8,10,16
"Burlington","0900310100","Referrals","Percent","Birth to Three Indicators",20,26.26,24.49,17.24,14.29,13.56,14.29,18.18
"Burlington","0900310100","Referred that are Evaluated","Percent","Birth to Three Indicators",90.91,92.31,95.83,93.33,100,87.5,90,100
"Canton","0900312270","Evaluated that are Eligible","Percent","Birth to Three Indicators",57.14,76.19,75,70,64.71,57.14,55,71.43
"Canton","0900312270","Evaluations","Number","Birth to Three Indicators",28,21,16,10,17,14,20,14
"Canton","0900312270","Evaluations","Percent","Birth to Three Indicators",30.11,21,17.58,9.8,19.77,17.07,25.32,17.95
"Canton","0900312270","Referrals","Number","Birth to Three Indicators",29,21,17,10,17,14,20,14
"Canton","0900312270","Referrals","Percent","Birth to Three Indicators",31.18,21,18.68,9.8,19.77,17.07,25.32,17.95
"Canton","0900312270","Referred that are Evaluated","Percent","Birth to Three Indicators",96.55,100,94.12,100,100,100,100,100
"Canton","0900312270","Total Eligible","Number","Birth to Three Indicators",16,16,12,7,11,8,11,10
"Canton","0900312270","Total Eligible","Percent","Birth to Three Indicators",17.2,16,13.19,6.86,12.79,9.76,13.92,12.82
"Cheshire","0900914160","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",63.33,50,57.14,47.37,54.17,65,45.45,76.47
"Cheshire","0900914160","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",96.67,100,95.24,100,100,85,86.36,100
"Cheshire","0900914160","Evaluated that are Eligible","Percent","Birth to Three Indicators",62.5,55.81,61.76,59.38,53.33,62.5,59.46,58.62
"Cheshire","0900914160","Evaluations","Number","Birth to Three Indicators",48,43,34,32,45,32,37,29
"Cheshire","0900914160","Evaluations","Percent","Birth to Three Indicators",19.05,18.7,15.45,15.53,24.73,17.39,21.64,17.68
"Cheshire","0900914160","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",19,12,12,9,13,13,10,13
"Cheshire","0900914160","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",7.54,5.22,5.45,4.37,7.14,7.07,5.85,7.93
"Cheshire","0900914160","IFSP Receiving Services","Percent","Birth to Three Indicators",100,100,100,100,87.5,94.12,89.47,100
"Cheshire","0900914160","Individualized Family Service Plans","Number","Birth to Three Indicators",29,24,20,19,24,17,19,17
"Cheshire","0900914160","Individualized Family Service Plans","Percent","Birth to Three Indicators",11.51,10.43,9.09,9.22,13.19,9.24,11.11,10.37
"Cheshire","0900914160","Referrals","Number","Birth to Three Indicators",52,44,34,34,47,33,37,29
"Cheshire","0900914160","Referrals","Percent","Birth to Three Indicators",20.63,19.13,15.45,16.5,25.82,17.93,21.64,17.68
"Cheshire","0900914160","Referred that are Evaluated","Percent","Birth to Three Indicators",92.31,97.73,100,94.12,95.74,96.97,100,100
"Cheshire","0900914160","Total Eligible","Number","Birth to Three Indicators",30,24,21,19,24,20,22,17
"Cheshire","0900914160","Total Eligible","Percent","Birth to Three Indicators",11.9,10.43,9.55,9.22,13.19,10.87,12.87,10.37
"Cheshire","0900914160","Total Served","Number","Birth to Three Indicators",29,24,20,19,21,16,17,17
"Cheshire","0900914160","Total Served","Percent","Birth to Three Indicators",11.51,10.43,9.09,9.22,11.54,8.7,9.94,10.37
"Clinton","0900715350","Evaluations","Number","Birth to Three Indicators",31,23,28,27,26,21,11,13
"Clinton","0900715350","Evaluations","Percent","Birth to Three Indicators",18.9,16.2,20.59,21.26,19.7,20.79,11.11,13.27
"Clinton","0900715350","Referrals","Number","Birth to Three Indicators",35,24,30,28,29,22,13,15
"Clinton","0900715350","Referrals","Percent","Birth to Three Indicators",21.34,16.9,22.06,22.05,21.97,21.78,13.13,15.31
"Clinton","0900715350","Referred that are Evaluated","Percent","Birth to Three Indicators",88.57,95.83,93.33,96.43,89.66,95.45,84.62,86.67
"Colchester","0901115910","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",59.26,37.5,61.9,42.11,56,66.67,57.89,48.15
"Colchester","0901115910","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",88.89,91.67,100,100,100,100,94.74,85.19
"Colchester","0901115910","Evaluated that are Eligible","Percent","Birth to Three Indicators",79.41,66.67,63.64,57.58,58.14,53.57,57.58,72.97
"Colchester","0901115910","Evaluations","Number","Birth to Three Indicators",34,36,33,33,43,28,33,37
"Colchester","0901115910","Evaluations","Percent","Birth to Three Indicators",18.09,22.64,22.6,23.24,26.88,18.54,24.09,26.43
"Colchester","0901115910","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",16,9,13,8,14,10,11,13
"Colchester","0901115910","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",8.51,5.66,8.9,5.63,8.75,6.62,8.03,9.29
"Colchester","0901115910","IFSP Receiving Services","Percent","Birth to Three Indicators",91.67,95.45,100,100,96,100,94.44,100
"Colchester","0901115910","Individualized Family Service Plans","Number","Birth to Three Indicators",24,22,21,19,25,15,18,23
"Colchester","0901115910","Individualized Family Service Plans","Percent","Birth to Three Indicators",12.77,13.84,14.38,13.38,15.62,9.93,13.14,16.43
"Colchester","0901115910","Referrals","Number","Birth to Three Indicators",38,40,34,33,45,31,36,38
"Colchester","0901115910","Referrals","Percent","Birth to Three Indicators",20.21,25.16,23.29,23.24,28.12,20.53,26.28,27.14
"Colchester","0901115910","Referred that are Evaluated","Percent","Birth to Three Indicators",89.47,90,97.06,100,95.56,90.32,91.67,97.37
"Colchester","0901115910","Total Eligible","Number","Birth to Three Indicators",27,24,21,19,25,15,19,27
"Colchester","0901115910","Total Eligible","Percent","Birth to Three Indicators",14.36,15.09,14.38,13.38,15.62,9.93,13.87,19.29
"Colchester","0901115910","Total Served","Number","Birth to Three Indicators",22,21,21,19,24,15,17,23
"Colchester","0901115910","Total Served","Percent","Birth to Three Indicators",11.7,13.21,14.38,13.38,15,9.93,12.41,16.43
"Connecticut","09","Eligible that Exit to ECSE","Percent","Birth to Three Indicators",45,47.17,47.08,45.05,46.67,46.09,47.54,47.3
"Connecticut","09","Eligible that Recieve IFSP","Percent","Birth to Three Indicators",95.11,95.43,96.12,95.54,95.37,94.41,94.23,94.15
"Connecticut","09","Evaluated that are Eligible","Percent","Birth to Three Indicators",61.97,63.9,62.92,63.27,63.49,65.66,66.13,68.99
"Connecticut","09","Evaluations","Number","Birth to Three Indicators",6927,7199,7166,7130,7080,6893,6864,7011
"Connecticut","09","Evaluations","Percent","Birth to Three Indicators",16.6,17.23,17.23,17.65,18.21,18.28,18.41,19.2
"Connecticut","09","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",1932,2170,2123,2032,2098,2086,2158,2288
"Connecticut","09","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",4.63,5.19,5.1,5.03,5.4,5.53,5.79,6.27
"Connecticut","09","IFSP Receiving Services","Percent","Birth to Three Indicators",96.25,96.61,96.38,97.38,96.62,97.07,96.91,97.01
"Connecticut","09","Individualized Family Service Plans","Number","Birth to Three Indicators",4083,4390,4334,4310,4287,4273,4277,4554
"Connecticut","09","Individualized Family Service Plans","Percent","Birth to Three Indicators",9.79,10.51,10.42,10.67,11.03,11.33,11.47,12.47
"Connecticut","09","Referrals","Number","Birth to Three Indicators",7532,7753,7644,7532,7555,7315,7285,7419
"Connecticut","09","Referrals","Percent","Birth to Three Indicators",18.05,18.55,18.38,18.65,19.43,19.4,19.54,20.32
"Connecticut","09","Referred that are Evaluated","Percent","Birth to Three Indicators",91.97,92.85,93.75,94.66,93.71,94.23,94.22,94.5
"Connecticut","09","Total Eligible","Number","Birth to Three Indicators",4293,4600,4509,4511,4495,4526,4539,4837
"Connecticut","09","Total Eligible","Percent","Birth to Three Indicators",10.29,11.01,10.84,11.17,11.56,12,12.18,13.25
"Connecticut","09","Total Served","Number","Birth to Three Indicators",3930,4241,4177,4197,4142,4148,4145,4418
