"Town","FIPS","Indicator","Measure Type","Variable","Year","Value"
"Berlin","0900304300","Total Served","Number","Birth to Three Indicators","2005",22
"Berlin","0900304300","Total Served","Percent","Birth to Three Indicators","2005",11.4
"Bethel","0900104720","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",39.13
"Bethel","0900104720","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"Bethel","0900104720","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",63.89
"Bethel","0900104720","Evaluations","Number","Birth to Three Indicators","2005",36
"Bethel","0900104720","Evaluations","Percent","Birth to Three Indicators","2005",19.15
"Bethel","0900104720","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",9
"Bethel","0900104720","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",4.79
"Bethel","0900104720","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",95.65
"Bethel","0900104720","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",23
"Bethel","0900104720","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",12.23
"Bethel","0900104720","Referrals","Number","Birth to Three Indicators","2005",38
"Bethel","0900104720","Referrals","Percent","Birth to Three Indicators","2005",20.21
"Bethel","0900104720","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",94.74
"Bethel","0900104720","Total Eligible","Number","Birth to Three Indicators","2005",23
"Bethel","0900104720","Total Eligible","Percent","Birth to Three Indicators","2005",12.23
"Bethel","0900104720","Total Served","Number","Birth to Three Indicators","2005",22
"Bethel","0900104720","Total Served","Percent","Birth to Three Indicators","2005",11.7
"Bloomfield","0900305910","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",58.82
"Bloomfield","0900305910","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",88.24
"Bloomfield","0900305910","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",65.38
"Bloomfield","0900305910","Evaluations","Number","Birth to Three Indicators","2005",26
"Bloomfield","0900305910","Evaluations","Percent","Birth to Three Indicators","2005",15.57
"Bloomfield","0900305910","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",10
"Bloomfield","0900305910","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",5.99
"Bloomfield","0900305910","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",80
"Bloomfield","0900305910","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",15
"Bloomfield","0900305910","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",8.98
"Bloomfield","0900305910","Referrals","Number","Birth to Three Indicators","2005",29
"Bloomfield","0900305910","Referrals","Percent","Birth to Three Indicators","2005",17.37
"Bloomfield","0900305910","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",89.66
"Bloomfield","0900305910","Total Eligible","Number","Birth to Three Indicators","2005",17
"Bloomfield","0900305910","Total Eligible","Percent","Birth to Three Indicators","2005",10.18
"Bloomfield","0900305910","Total Served","Number","Birth to Three Indicators","2005",12
"Bloomfield","0900305910","Total Served","Percent","Birth to Three Indicators","2005",7.19
"Branford","0900907310","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",65.38
"Branford","0900907310","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",103.85
"Branford","0900907310","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",68.42
"Branford","0900907310","Evaluations","Number","Birth to Three Indicators","2005",38
"Branford","0900907310","Evaluations","Percent","Birth to Three Indicators","2005",16.17
"Branford","0900907310","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",17
"Branford","0900907310","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",7.23
"Branford","0900907310","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",92.59
"Branford","0900907310","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",27
"Branford","0900907310","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",11.49
"Branford","0900907310","Referrals","Number","Birth to Three Indicators","2005",41
"Branford","0900907310","Referrals","Percent","Birth to Three Indicators","2005",17.45
"Branford","0900907310","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",92.68
"Branford","0900907310","Total Eligible","Number","Birth to Three Indicators","2005",26
"Branford","0900907310","Total Eligible","Percent","Birth to Three Indicators","2005",11.06
"Branford","0900907310","Total Served","Number","Birth to Three Indicators","2005",25
"Branford","0900907310","Total Served","Percent","Birth to Three Indicators","2005",10.64
"Bridgeport","0900108070","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",52.13
"Bridgeport","0900108070","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",93.84
"Bridgeport","0900108070","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",71.04
"Bridgeport","0900108070","Evaluations","Number","Birth to Three Indicators","2005",297
"Bridgeport","0900108070","Evaluations","Percent","Birth to Three Indicators","2005",12.69
"Bridgeport","0900108070","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",110
"Bridgeport","0900108070","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",4.7
"Bridgeport","0900108070","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",92.42
"Bridgeport","0900108070","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",198
"Bridgeport","0900108070","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",8.46
"Bridgeport","0900108070","Referrals","Number","Birth to Three Indicators","2005",319
"Bridgeport","0900108070","Referrals","Percent","Birth to Three Indicators","2005",13.63
"Bridgeport","0900108070","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",93.1
"Bridgeport","0900108070","Total Eligible","Number","Birth to Three Indicators","2005",211
"Bridgeport","0900108070","Total Eligible","Percent","Birth to Three Indicators","2005",9.02
"Bridgeport","0900108070","Total Served","Number","Birth to Three Indicators","2005",183
"Bridgeport","0900108070","Total Served","Percent","Birth to Three Indicators","2005",7.82
"Bristol","0900308490","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",49.4
"Bristol","0900308490","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",97.59
"Bristol","0900308490","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",58.04
"Bristol","0900308490","Evaluations","Number","Birth to Three Indicators","2005",143
"Bristol","0900308490","Evaluations","Percent","Birth to Three Indicators","2005",18.01
"Bristol","0900308490","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",41
"Bristol","0900308490","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",5.16
"Bristol","0900308490","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",97.53
"Bristol","0900308490","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",81
"Bristol","0900308490","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",10.2
"Bristol","0900308490","Referrals","Number","Birth to Three Indicators","2005",157
"Bristol","0900308490","Referrals","Percent","Birth to Three Indicators","2005",19.77
"Bristol","0900308490","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",91.08
"Bristol","0900308490","Total Eligible","Number","Birth to Three Indicators","2005",83
"Bristol","0900308490","Total Eligible","Percent","Birth to Three Indicators","2005",10.45
"Bristol","0900308490","Total Served","Number","Birth to Three Indicators","2005",79
"Bristol","0900308490","Total Served","Percent","Birth to Three Indicators","2005",9.95
"Brookfield","0900108980","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",52
"Brookfield","0900108980","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",96
"Brookfield","0900108980","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",65.79
"Brookfield","0900108980","Evaluations","Number","Birth to Three Indicators","2005",38
"Brookfield","0900108980","Evaluations","Percent","Birth to Three Indicators","2005",23.75
"Brookfield","0900108980","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",13
"Brookfield","0900108980","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",8.12
"Brookfield","0900108980","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",100
"Brookfield","0900108980","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",24
"Brookfield","0900108980","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",15
"Brookfield","0900108980","Referrals","Number","Birth to Three Indicators","2005",40
"Brookfield","0900108980","Referrals","Percent","Birth to Three Indicators","2005",25
"Brookfield","0900108980","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",95
"Brookfield","0900108980","Total Eligible","Number","Birth to Three Indicators","2005",25
"Brookfield","0900108980","Total Eligible","Percent","Birth to Three Indicators","2005",15.62
"Brookfield","0900108980","Total Served","Number","Birth to Three Indicators","2005",24
"Brookfield","0900108980","Total Served","Percent","Birth to Three Indicators","2005",15
"Brooklyn","0901509190","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"Brooklyn","0901509190","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",70.59
"Brooklyn","0901509190","Evaluations","Number","Birth to Three Indicators","2005",17
"Brooklyn","0901509190","Evaluations","Percent","Birth to Three Indicators","2005",17.53
"Brooklyn","0901509190","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",12
"Brooklyn","0901509190","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",12.37
"Brooklyn","0901509190","Referrals","Number","Birth to Three Indicators","2005",18
"Brooklyn","0901509190","Referrals","Percent","Birth to Three Indicators","2005",18.56
"Brooklyn","0901509190","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",94.44
"Brooklyn","0901509190","Total Eligible","Number","Birth to Three Indicators","2005",12
"Brooklyn","0901509190","Total Eligible","Percent","Birth to Three Indicators","2005",12.37
"Burlington","0900310100","Evaluations","Number","Birth to Three Indicators","2005",20
"Burlington","0900310100","Evaluations","Percent","Birth to Three Indicators","2005",18.18
"Burlington","0900310100","Referrals","Number","Birth to Three Indicators","2005",22
"Burlington","0900310100","Referrals","Percent","Birth to Three Indicators","2005",20
"Burlington","0900310100","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",90.91
"Canton","0900312270","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",57.14
"Canton","0900312270","Evaluations","Number","Birth to Three Indicators","2005",28
"Canton","0900312270","Evaluations","Percent","Birth to Three Indicators","2005",30.11
"Canton","0900312270","Referrals","Number","Birth to Three Indicators","2005",29
"Canton","0900312270","Referrals","Percent","Birth to Three Indicators","2005",31.18
"Canton","0900312270","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",96.55
"Canton","0900312270","Total Eligible","Number","Birth to Three Indicators","2005",16
"Canton","0900312270","Total Eligible","Percent","Birth to Three Indicators","2005",17.2
"Cheshire","0900914160","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",63.33
"Cheshire","0900914160","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",96.67
"Cheshire","0900914160","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",62.5
"Cheshire","0900914160","Evaluations","Number","Birth to Three Indicators","2005",48
"Cheshire","0900914160","Evaluations","Percent","Birth to Three Indicators","2005",19.05
"Cheshire","0900914160","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",19
"Cheshire","0900914160","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",7.54
"Cheshire","0900914160","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",100
"Cheshire","0900914160","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",29
"Cheshire","0900914160","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",11.51
"Cheshire","0900914160","Referrals","Number","Birth to Three Indicators","2005",52
"Cheshire","0900914160","Referrals","Percent","Birth to Three Indicators","2005",20.63
"Cheshire","0900914160","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",92.31
"Cheshire","0900914160","Total Eligible","Number","Birth to Three Indicators","2005",30
"Cheshire","0900914160","Total Eligible","Percent","Birth to Three Indicators","2005",11.9
"Cheshire","0900914160","Total Served","Number","Birth to Three Indicators","2005",29
"Cheshire","0900914160","Total Served","Percent","Birth to Three Indicators","2005",11.51
"Clinton","0900715350","Evaluations","Number","Birth to Three Indicators","2005",31
"Clinton","0900715350","Evaluations","Percent","Birth to Three Indicators","2005",18.9
"Clinton","0900715350","Referrals","Number","Birth to Three Indicators","2005",35
"Clinton","0900715350","Referrals","Percent","Birth to Three Indicators","2005",21.34
"Clinton","0900715350","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",88.57
"Colchester","0901115910","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",59.26
"Colchester","0901115910","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",88.89
"Colchester","0901115910","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",79.41
"Colchester","0901115910","Evaluations","Number","Birth to Three Indicators","2005",34
"Colchester","0901115910","Evaluations","Percent","Birth to Three Indicators","2005",18.09
"Colchester","0901115910","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",16
"Colchester","0901115910","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",8.51
"Colchester","0901115910","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",91.67
"Colchester","0901115910","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",24
"Colchester","0901115910","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",12.77
"Colchester","0901115910","Referrals","Number","Birth to Three Indicators","2005",38
"Colchester","0901115910","Referrals","Percent","Birth to Three Indicators","2005",20.21
"Colchester","0901115910","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",89.47
"Colchester","0901115910","Total Eligible","Number","Birth to Three Indicators","2005",27
"Colchester","0901115910","Total Eligible","Percent","Birth to Three Indicators","2005",14.36
"Colchester","0901115910","Total Served","Number","Birth to Three Indicators","2005",22
"Colchester","0901115910","Total Served","Percent","Birth to Three Indicators","2005",11.7
"Connecticut","09","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",45
"Connecticut","09","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",95.11
"Connecticut","09","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",61.97
"Connecticut","09","Evaluations","Number","Birth to Three Indicators","2005",6927
"Connecticut","09","Evaluations","Percent","Birth to Three Indicators","2005",16.6
"Connecticut","09","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",1932
"Connecticut","09","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",4.63
"Connecticut","09","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",96.25
"Connecticut","09","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",4083
"Connecticut","09","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",9.79
"Connecticut","09","Referrals","Number","Birth to Three Indicators","2005",7532
"Connecticut","09","Referrals","Percent","Birth to Three Indicators","2005",18.05
"Connecticut","09","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",91.97
"Connecticut","09","Total Eligible","Number","Birth to Three Indicators","2005",4293
"Connecticut","09","Total Eligible","Percent","Birth to Three Indicators","2005",10.29
"Connecticut","09","Total Served","Number","Birth to Three Indicators","2005",3930
"Connecticut","09","Total Served","Percent","Birth to Three Indicators","2005",9.42
"Coventry","0901317800","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",94.44
"Coventry","0901317800","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",75
"Coventry","0901317800","Evaluations","Number","Birth to Three Indicators","2005",24
"Coventry","0901317800","Evaluations","Percent","Birth to Three Indicators","2005",16.78
"Coventry","0901317800","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",100
"Coventry","0901317800","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",17
"Coventry","0901317800","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",11.89
"Coventry","0901317800","Referrals","Number","Birth to Three Indicators","2005",26
"Coventry","0901317800","Referrals","Percent","Birth to Three Indicators","2005",18.18
"Coventry","0901317800","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",92.31
"Coventry","0901317800","Total Eligible","Number","Birth to Three Indicators","2005",18
"Coventry","0901317800","Total Eligible","Percent","Birth to Three Indicators","2005",12.59
"Coventry","0901317800","Total Served","Number","Birth to Three Indicators","2005",17
"Coventry","0901317800","Total Served","Percent","Birth to Three Indicators","2005",11.89
"Cromwell","0900718080","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",93.75
"Cromwell","0900718080","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",69.57
"Cromwell","0900718080","Evaluations","Number","Birth to Three Indicators","2005",23
"Cromwell","0900718080","Evaluations","Percent","Birth to Three Indicators","2005",15.54
"Cromwell","0900718080","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",100
"Cromwell","0900718080","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",15
"Cromwell","0900718080","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",10.14
"Cromwell","0900718080","Referrals","Number","Birth to Three Indicators","2005",24
"Cromwell","0900718080","Referrals","Percent","Birth to Three Indicators","2005",16.22
"Cromwell","0900718080","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",95.83
"Cromwell","0900718080","Total Eligible","Number","Birth to Three Indicators","2005",16
"Cromwell","0900718080","Total Eligible","Percent","Birth to Three Indicators","2005",10.81
"Cromwell","0900718080","Total Served","Number","Birth to Three Indicators","2005",15
"Cromwell","0900718080","Total Served","Percent","Birth to Three Indicators","2005",10.14
"Danbury","0900118500","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",40
"Danbury","0900118500","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",95
"Danbury","0900118500","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",62.83
"Danbury","0900118500","Evaluations","Number","Birth to Three Indicators","2005",191
"Danbury","0900118500","Evaluations","Percent","Birth to Three Indicators","2005",16.34
"Danbury","0900118500","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",48
"Danbury","0900118500","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",4.11
"Danbury","0900118500","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",98.25
"Danbury","0900118500","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",114
"Danbury","0900118500","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",9.75
"Danbury","0900118500","Referrals","Number","Birth to Three Indicators","2005",219
"Danbury","0900118500","Referrals","Percent","Birth to Three Indicators","2005",18.73
"Danbury","0900118500","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",87.21
"Danbury","0900118500","Total Eligible","Number","Birth to Three Indicators","2005",120
"Danbury","0900118500","Total Eligible","Percent","Birth to Three Indicators","2005",10.27
"Danbury","0900118500","Total Served","Number","Birth to Three Indicators","2005",112
"Danbury","0900118500","Total Served","Percent","Birth to Three Indicators","2005",9.58
"Darien","0900118850","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",31.03
"Darien","0900118850","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",96.55
"Darien","0900118850","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",46.77
"Darien","0900118850","Evaluations","Number","Birth to Three Indicators","2005",62
"Darien","0900118850","Evaluations","Percent","Birth to Three Indicators","2005",20.6
"Darien","0900118850","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",9
"Darien","0900118850","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",2.99
"Darien","0900118850","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",96.43
"Darien","0900118850","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",28
"Darien","0900118850","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",9.3
"Darien","0900118850","Referrals","Number","Birth to Three Indicators","2005",69
"Darien","0900118850","Referrals","Percent","Birth to Three Indicators","2005",22.92
"Darien","0900118850","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",89.86
"Darien","0900118850","Total Eligible","Number","Birth to Three Indicators","2005",29
"Darien","0900118850","Total Eligible","Percent","Birth to Three Indicators","2005",9.63
"Darien","0900118850","Total Served","Number","Birth to Three Indicators","2005",27
"Darien","0900118850","Total Served","Percent","Birth to Three Indicators","2005",8.97
"Derby","0900919550","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",83.33
"Derby","0900919550","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",75
"Derby","0900919550","Evaluations","Number","Birth to Three Indicators","2005",16
"Derby","0900919550","Evaluations","Percent","Birth to Three Indicators","2005",10.46
"Derby","0900919550","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",90
"Derby","0900919550","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",10
"Derby","0900919550","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",6.54
"Derby","0900919550","Referrals","Number","Birth to Three Indicators","2005",17
"Derby","0900919550","Referrals","Percent","Birth to Three Indicators","2005",11.11
"Derby","0900919550","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",94.12
"Derby","0900919550","Total Eligible","Number","Birth to Three Indicators","2005",12
"Derby","0900919550","Total Eligible","Percent","Birth to Three Indicators","2005",7.84
"Derby","0900919550","Total Served","Number","Birth to Three Indicators","2005",9
"Derby","0900919550","Total Served","Percent","Birth to Three Indicators","2005",5.88
"East Granby","0900322070","Evaluations","Number","Birth to Three Indicators","2005",8
"East Granby","0900322070","Evaluations","Percent","Birth to Three Indicators","2005",13.11
"East Granby","0900322070","Referrals","Number","Birth to Three Indicators","2005",10
"East Granby","0900322070","Referrals","Percent","Birth to Three Indicators","2005",16.39
"East Granby","0900322070","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",80
"East Haddam","0900722280","Evaluations","Number","Birth to Three Indicators","2005",6
"East Haddam","0900722280","Evaluations","Percent","Birth to Three Indicators","2005",6.19
"East Haddam","0900722280","Referrals","Number","Birth to Three Indicators","2005",8
"East Haddam","0900722280","Referrals","Percent","Birth to Three Indicators","2005",8.25
"East Haddam","0900722280","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",75
"East Hampton","0900722490","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",100
"East Hampton","0900722490","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",45.45
"East Hampton","0900722490","Evaluations","Number","Birth to Three Indicators","2005",22
"East Hampton","0900722490","Evaluations","Percent","Birth to Three Indicators","2005",15.94
"East Hampton","0900722490","IFSP Receiving Services","Percent","Birth to Three Indicators","2005",90
"East Hampton","0900722490","Individualized Family Service Plans","Number","Birth to Three Indicators","2005",10
"East Hampton","0900722490","Individualized Family Service Plans","Percent","Birth to Three Indicators","2005",7.25
"East Hampton","0900722490","Referrals","Number","Birth to Three Indicators","2005",25
"East Hampton","0900722490","Referrals","Percent","Birth to Three Indicators","2005",18.12
"East Hampton","0900722490","Referred that are Evaluated","Percent","Birth to Three Indicators","2005",88
"East Hampton","0900722490","Total Eligible","Number","Birth to Three Indicators","2005",10
"East Hampton","0900722490","Total Eligible","Percent","Birth to Three Indicators","2005",7.25
"East Hampton","0900722490","Total Served","Number","Birth to Three Indicators","2005",9
"East Hampton","0900722490","Total Served","Percent","Birth to Three Indicators","2005",6.52
"East Hartford","0900322630","Eligible that Exit to ECSE","Percent","Birth to Three Indicators","2005",33.33
"East Hartford","0900322630","Eligible that Recieve IFSP","Percent","Birth to Three Indicators","2005",96.49
"East Hartford","0900322630","Evaluated that are Eligible","Percent","Birth to Three Indicators","2005",51.35
"East Hartford","0900322630","Evaluations","Number","Birth to Three Indicators","2005",111
"East Hartford","0900322630","Evaluations","Percent","Birth to Three Indicators","2005",15.31
"East Hartford","0900322630","Exited to Early Childhood Special Education","Number","Birth to Three Indicators","2005",19
"East Hartford","0900322630","Exited to Early Childhood Special Education","Percent","Birth to Three Indicators","2005",2.62
