"Town","FIPS","Year","Grant","Value"
"New Canaan","0900150580",2015,"Colleges & Hospitals PILOT",0
"New Canaan","0900150580",2015,"Elderly Circuit Breaker",26211.19
"New Canaan","0900150580",2015,"State Property PILOT",47151.27
"New Canaan","0900150580",2015,"Veterans' Exemption",1380.35
"New Canaan","0900150580",2015,"Disability Exemption",158.95
"New Canaan","0900150580",2015,"Pequot Grants",9292.75
"New Canaan","0900150580",2015,"Elderly Freeze",0
"New Canaan","0900150580",2015,"DECD Tax Abatement",0
"New Canaan","0900150580",2015,"DECD PILOT Grant",0
"New Canaan","0900150580",2015,"LoCIP",115715
"New Canaan","0900150580",2015,"Town Aid Road",330869
"New Canaan","0900150580",2014,"Total",526540.81
"New Canaan","0900150580",2015,"Total",530778.51
"New Fairfield","0900150860",2014,"Colleges & Hospitals PILOT",0
"New Fairfield","0900150860",2014,"Elderly Circuit Breaker",84158.52
"New Fairfield","0900150860",2014,"State Property PILOT",18427.33
"New Fairfield","0900150860",2014,"Veterans' Exemption",16519.37
"New Fairfield","0900150860",2014,"Disability Exemption",1473.12
"New Fairfield","0900150860",2014,"Pequot Grants",22907.65
"New Fairfield","0900150860",2014,"Elderly Freeze",0
"New Fairfield","0900150860",2014,"DECD Tax Abatement",0
"New Fairfield","0900150860",2014,"DECD PILOT Grant",0
"New Fairfield","0900150860",2014,"LoCIP",80813
"New Fairfield","0900150860",2014,"Town Aid Road",276120.63
"New Fairfield","0900150860",2015,"Colleges & Hospitals PILOT",0
"New Fairfield","0900150860",2015,"Elderly Circuit Breaker",89316.13
"New Fairfield","0900150860",2015,"State Property PILOT",20607.21
"New Fairfield","0900150860",2015,"Veterans' Exemption",16292.9
"New Fairfield","0900150860",2015,"Disability Exemption",1556.07
"New Fairfield","0900150860",2015,"Pequot Grants",26467.8
"New Fairfield","0900150860",2015,"Elderly Freeze",0
"New Fairfield","0900150860",2015,"DECD Tax Abatement",0
"New Fairfield","0900150860",2015,"DECD PILOT Grant",0
"New Fairfield","0900150860",2015,"LoCIP",80517
"New Fairfield","0900150860",2015,"Town Aid Road",276563
"New Fairfield","0900150860",2014,"Total",500419.62
"New Fairfield","0900150860",2015,"Total",511320.11
"Newtown","0900152980",2014,"Colleges & Hospitals PILOT",0
"Newtown","0900152980",2014,"Elderly Circuit Breaker",156866.11
"Newtown","0900152980",2014,"State Property PILOT",812504.35
"Newtown","0900152980",2014,"Veterans' Exemption",17306.62
"Newtown","0900152980",2014,"Disability Exemption",2143.07
"Newtown","0900152980",2014,"Pequot Grants",797498.01
"Newtown","0900152980",2014,"Elderly Freeze",0
"Newtown","0900152980",2014,"DECD Tax Abatement",0
"Newtown","0900152980",2014,"DECD PILOT Grant",0
"Newtown","0900152980",2014,"LoCIP",208506
"Newtown","0900152980",2014,"Town Aid Road",470722.7
"Newtown","0900152980",2015,"Colleges & Hospitals PILOT",0
"Newtown","0900152980",2015,"Elderly Circuit Breaker",149044.47
"Newtown","0900152980",2015,"State Property PILOT",946196.9
"Newtown","0900152980",2015,"Veterans' Exemption",15992.89
"Newtown","0900152980",2015,"Disability Exemption",1930.67
"Newtown","0900152980",2015,"Pequot Grants",952649.22
"Newtown","0900152980",2015,"Elderly Freeze",0
"Newtown","0900152980",2015,"DECD Tax Abatement",0
"Newtown","0900152980",2015,"DECD PILOT Grant",0
"Newtown","0900152980",2015,"LoCIP",207562
"Newtown","0900152980",2015,"Town Aid Road",469220
"Newtown","0900152980",2014,"Total",2465546.86
"Newtown","0900152980",2015,"Total",2742596.15
"Norwalk","0900156060",2014,"Colleges & Hospitals PILOT",1465920.25
"Norwalk","0900156060",2014,"Elderly Circuit Breaker",476287.18
"Norwalk","0900156060",2014,"State Property PILOT",333954.64
"Norwalk","0900156060",2014,"Veterans' Exemption",3139.47
"Norwalk","0900156060",2014,"Disability Exemption",2268.62
"Norwalk","0900156060",2014,"Pequot Grants",851029.31
"Norwalk","0900156060",2014,"Elderly Freeze",16000
"Norwalk","0900156060",2014,"DECD Tax Abatement",11504
"Norwalk","0900156060",2014,"DECD PILOT Grant",0
"Norwalk","0900156060",2014,"LoCIP",632242
"Norwalk","0900156060",2014,"Town Aid Road",883599.45
"Norwalk","0900156060",2015,"Colleges & Hospitals PILOT",1571461.46
"Norwalk","0900156060",2015,"Elderly Circuit Breaker",447973.15
"Norwalk","0900156060",2015,"State Property PILOT",404528.06
"Norwalk","0900156060",2015,"Veterans' Exemption",4248.59
"Norwalk","0900156060",2015,"Disability Exemption",3145.52
"Norwalk","0900156060",2015,"Pequot Grants",855994.69
"Norwalk","0900156060",2015,"Elderly Freeze",14783.05
"Norwalk","0900156060",2015,"DECD Tax Abatement",11482
"Norwalk","0900156060",2015,"DECD PILOT Grant",0
"Norwalk","0900156060",2015,"LoCIP",631512
"Norwalk","0900156060",2015,"Town Aid Road",887652
"Norwalk","0900156060",2014,"Total",4675944.92
"Norwalk","0900156060",2015,"Total",4832780.52
"Redding","0900163480",2014,"Colleges & Hospitals PILOT",0
"Redding","0900163480",2014,"Elderly Circuit Breaker",23510.11
"Redding","0900163480",2014,"State Property PILOT",172867.65
"Redding","0900163480",2014,"Veterans' Exemption",1273.21
"Redding","0900163480",2014,"Disability Exemption",280.58
"Redding","0900163480",2014,"Pequot Grants",9432.56
"Redding","0900163480",2014,"Elderly Freeze",0
"Redding","0900163480",2014,"DECD Tax Abatement",0
"Redding","0900163480",2014,"DECD PILOT Grant",0
"Redding","0900163480",2014,"LoCIP",69029
"Redding","0900163480",2014,"Town Aid Road",268517.61
"Redding","0900163480",2015,"Colleges & Hospitals PILOT",0
"Redding","0900163480",2015,"Elderly Circuit Breaker",22700.84
"Redding","0900163480",2015,"State Property PILOT",179434.4
"Redding","0900163480",2015,"Veterans' Exemption",1116.36
"Redding","0900163480",2015,"Disability Exemption",246.42
"Redding","0900163480",2015,"Pequot Grants",11693.72
"Redding","0900163480",2015,"Elderly Freeze",0
"Redding","0900163480",2015,"DECD Tax Abatement",0
"Redding","0900163480",2015,"DECD PILOT Grant",0
"Redding","0900163480",2015,"LoCIP",69362
"Redding","0900163480",2015,"Town Aid Road",268879
"Redding","0900163480",2014,"Total",544910.72
"Redding","0900163480",2015,"Total",553432.74
"Ridgefield","0900163970",2014,"Colleges & Hospitals PILOT",0
"Ridgefield","0900163970",2014,"Elderly Circuit Breaker",58654.01
"Ridgefield","0900163970",2014,"State Property PILOT",163023.37
"Ridgefield","0900163970",2014,"Veterans' Exemption",4294.96
"Ridgefield","0900163970",2014,"Disability Exemption",961.54
"Ridgefield","0900163970",2014,"Pequot Grants",14277.69
"Ridgefield","0900163970",2014,"Elderly Freeze",0
"Ridgefield","0900163970",2014,"DECD Tax Abatement",0
"Ridgefield","0900163970",2014,"DECD PILOT Grant",0
"Ridgefield","0900163970",2014,"LoCIP",153701
"Ridgefield","0900163970",2014,"Town Aid Road",378461.76
"Ridgefield","0900163970",2015,"Colleges & Hospitals PILOT",0
"Ridgefield","0900163970",2015,"Elderly Circuit Breaker",60087.73
"Ridgefield","0900163970",2015,"State Property PILOT",148889.04
"Ridgefield","0900163970",2015,"Veterans' Exemption",1635.48
"Ridgefield","0900163970",2015,"Disability Exemption",1019.82
"Ridgefield","0900163970",2015,"Pequot Grants",16612.43
"Ridgefield","0900163970",2015,"Elderly Freeze",0
"Ridgefield","0900163970",2015,"DECD Tax Abatement",0
"Ridgefield","0900163970",2015,"DECD PILOT Grant",0
"Ridgefield","0900163970",2015,"LoCIP",153327
"Ridgefield","0900163970",2015,"Town Aid Road",378878
"Ridgefield","0900163970",2014,"Total",773374.33
"Ridgefield","0900163970",2015,"Total",760449.5
"Shelton","0900168170",2014,"Colleges & Hospitals PILOT",0
"Shelton","0900168170",2014,"Elderly Circuit Breaker",256013.14
"Shelton","0900168170",2014,"State Property PILOT",14632.82
"Shelton","0900168170",2014,"Veterans' Exemption",29978.15
"Shelton","0900168170",2014,"Disability Exemption",4245.83
"Shelton","0900168170",2014,"Pequot Grants",77086.43
"Shelton","0900168170",2014,"Elderly Freeze",0
"Shelton","0900168170",2014,"DECD Tax Abatement",0
"Shelton","0900168170",2014,"DECD PILOT Grant",0
"Shelton","0900168170",2014,"LoCIP",265841
"Shelton","0900168170",2014,"Town Aid Road",493927.09
"Shelton","0900168170",2015,"Colleges & Hospitals PILOT",0
"Shelton","0900168170",2015,"Elderly Circuit Breaker",249993.48
"Shelton","0900168170",2015,"State Property PILOT",15668.05
"Shelton","0900168170",2015,"Veterans' Exemption",28925.95
"Shelton","0900168170",2015,"Disability Exemption",4088.97
"Shelton","0900168170",2015,"Pequot Grants",80087.97
"Shelton","0900168170",2015,"Elderly Freeze",0
"Shelton","0900168170",2015,"DECD Tax Abatement",0
"Shelton","0900168170",2015,"DECD PILOT Grant",0
"Shelton","0900168170",2015,"LoCIP",267034
"Shelton","0900168170",2015,"Town Aid Road",495552
"Shelton","0900168170",2014,"Total",1141724.46
"Shelton","0900168170",2015,"Total",1141350.42
"Sherman","0900168310",2014,"Colleges & Hospitals PILOT",0
"Sherman","0900168310",2014,"Elderly Circuit Breaker",19240.7
"Sherman","0900168310",2014,"State Property PILOT",12.3
"Sherman","0900168310",2014,"Veterans' Exemption",1374.72
"Sherman","0900168310",2014,"Disability Exemption",133.6
"Sherman","0900168310",2014,"Pequot Grants",8184.19
"Sherman","0900168310",2014,"Elderly Freeze",0
"Sherman","0900168310",2014,"DECD Tax Abatement",0
"Sherman","0900168310",2014,"DECD PILOT Grant",0
"Sherman","0900168310",2014,"LoCIP",26721
"Sherman","0900168310",2014,"Town Aid Road",204655.53
"Sherman","0900168310",2015,"Colleges & Hospitals PILOT",0
"Sherman","0900168310",2015,"Elderly Circuit Breaker",19453.41
"Sherman","0900168310",2015,"State Property PILOT",14.29
"Sherman","0900168310",2015,"Veterans' Exemption",1379.01
"Sherman","0900168310",2015,"Disability Exemption",101.47
"Sherman","0900168310",2015,"Pequot Grants",10407.61
"Sherman","0900168310",2015,"Elderly Freeze",0
"Sherman","0900168310",2015,"DECD Tax Abatement",0
"Sherman","0900168310",2015,"DECD PILOT Grant",0
"Sherman","0900168310",2015,"LoCIP",26607
"Sherman","0900168310",2015,"Town Aid Road",204907
"Sherman","0900168310",2014,"Total",260322.04
"Sherman","0900168310",2015,"Total",262869.79
"Stamford","0900173070",2014,"Colleges & Hospitals PILOT",1747011.14
"Stamford","0900173070",2014,"Elderly Circuit Breaker",383777.7
"Stamford","0900173070",2014,"State Property PILOT",1217777.73
"Stamford","0900173070",2014,"Veterans' Exemption",25929.75
"Stamford","0900173070",2014,"Disability Exemption",2674.77
"Stamford","0900173070",2014,"Pequot Grants",921041.17
"Stamford","0900173070",2014,"Elderly Freeze",5000
"Stamford","0900173070",2014,"DECD Tax Abatement",361905
"Stamford","0900173070",2014,"DECD PILOT Grant",254421
"Stamford","0900173070",2014,"LoCIP",812613
"Stamford","0900173070",2014,"Town Aid Road",1196828.38
"Stamford","0900173070",2015,"Colleges & Hospitals PILOT",1963213.67
"Stamford","0900173070",2015,"Elderly Circuit Breaker",331756.51
"Stamford","0900173070",2015,"State Property PILOT",1510039.07
"Stamford","0900173070",2015,"Veterans' Exemption",60209.07
"Stamford","0900173070",2015,"Disability Exemption",2868.43
"Stamford","0900173070",2015,"Pequot Grants",926415.03
"Stamford","0900173070",2015,"Elderly Freeze",2000
"Stamford","0900173070",2015,"DECD Tax Abatement",430338
"Stamford","0900173070",2015,"DECD PILOT Grant",237929
"Stamford","0900173070",2015,"LoCIP",821608
"Stamford","0900173070",2015,"Town Aid Road",1204261
"Stamford","0900173070",2014,"Total",6928979.64
"Stamford","0900173070",2015,"Total",7490637.78
"Stratford","0900174190",2014,"Colleges & Hospitals PILOT",0
"Stratford","0900174190",2014,"Elderly Circuit Breaker",545668.28
"Stratford","0900174190",2014,"State Property PILOT",367403.05
"Stratford","0900174190",2014,"Veterans' Exemption",152730.69
"Stratford","0900174190",2014,"Disability Exemption",8870.02
"Stratford","0900174190",2014,"Pequot Grants",163807.07
"Stratford","0900174190",2014,"Elderly Freeze",6126.5
"Stratford","0900174190",2014,"DECD Tax Abatement",0
"Stratford","0900174190",2014,"DECD PILOT Grant",64427
"Stratford","0900174190",2014,"LoCIP",393196
"Stratford","0900174190",2014,"Town Aid Road",597306.68
"Stratford","0900174190",2015,"Colleges & Hospitals PILOT",0
"Stratford","0900174190",2015,"Elderly Circuit Breaker",539539.55
"Stratford","0900174190",2015,"State Property PILOT",400622.03
"Stratford","0900174190",2015,"Veterans' Exemption",138825.97
"Stratford","0900174190",2015,"Disability Exemption",8594.47
"Stratford","0900174190",2015,"Pequot Grants",168339.23
"Stratford","0900174190",2015,"Elderly Freeze",6000
"Stratford","0900174190",2015,"DECD Tax Abatement",0
"Stratford","0900174190",2015,"DECD PILOT Grant",65480
"Stratford","0900174190",2015,"LoCIP",391112
"Stratford","0900174190",2015,"Town Aid Road",597569
"Stratford","0900174190",2014,"Total",2299535.29
"Stratford","0900174190",2015,"Total",2316082.25
"Trumbull","0900177200",2014,"Colleges & Hospitals PILOT",0
"Trumbull","0900177200",2014,"Elderly Circuit Breaker",246648.45
"Trumbull","0900177200",2014,"State Property PILOT",88414
"Trumbull","0900177200",2014,"Veterans' Exemption",35162.34
"Trumbull","0900177200",2014,"Disability Exemption",3390.87
"Trumbull","0900177200",2014,"Pequot Grants",47763.25
"Trumbull","0900177200",2014,"Elderly Freeze",0
"Trumbull","0900177200",2014,"DECD Tax Abatement",0
"Trumbull","0900177200",2014,"DECD PILOT Grant",0
"Trumbull","0900177200",2014,"LoCIP",248363
"Trumbull","0900177200",2014,"Town Aid Road",463812.77
"Trumbull","0900177200",2015,"Colleges & Hospitals PILOT",18591.15
"Trumbull","0900177200",2015,"Elderly Circuit Breaker",245248.92
"Trumbull","0900177200",2015,"State Property PILOT",96877.99
"Trumbull","0900177200",2015,"Veterans' Exemption",32937.41
"Trumbull","0900177200",2015,"Disability Exemption",3361.5
"Trumbull","0900177200",2015,"Pequot Grants",53557.21
"Trumbull","0900177200",2015,"Elderly Freeze",0
"Trumbull","0900177200",2015,"DECD Tax Abatement",0
"Trumbull","0900177200",2015,"DECD PILOT Grant",0
"Trumbull","0900177200",2015,"LoCIP",246276
"Trumbull","0900177200",2015,"Town Aid Road",464109
"Trumbull","0900177200",2014,"Total",1133554.68
"Trumbull","0900177200",2015,"Total",1160959.18
"Weston","0900183430",2014,"Colleges & Hospitals PILOT",0
"Weston","0900183430",2014,"Elderly Circuit Breaker",17901.34
"Weston","0900183430",2014,"State Property PILOT",6173.28
"Weston","0900183430",2014,"Veterans' Exemption",1233.4
"Weston","0900183430",2014,"Disability Exemption",252.58
"Weston","0900183430",2014,"Pequot Grants",7238.68
"Weston","0900183430",2014,"Elderly Freeze",0
"Weston","0900183430",2014,"DECD Tax Abatement",0
