"Municipality","Planning Region","Rank","Municipal Gap($ per capita)","ENGL AAGR '11-'14"
"South Windsor","Capitol Region",74,105,-2.4756843676298
"Barkhamsted","Northwest Hills",75,95,-3.11520311014203
"Franklin","Southeastern CT",76,95,-0.983604933063122
"Middlefield","Lower CT River Valley",77,92,-4.5273065118036
"Bethel","Western CT",78,85,-2.03432130640318
"Granby","Capitol Region",79,78,-2.14052395903492
"Salem","Southeastern CT",80,75,-3.54058263647809
"North Branford","South Central",81,67,-2.27814392357218
"Columbia","Capitol Region",82,62,-1.99088246569111
"Groton","Southeastern CT",83,61,-2.59911545183812
"Wallingford","South Central",84,58,-2.78217109793317
"Bozrah","Southeastern CT",85,44,-4.76783237134987
"Bolton","Capitol Region",86,36,-2.2993563695193
"East Hampton","Lower CT River Valley",87,34,-1.77206476692838
"Rocky Hill","Capitol Region",88,32,-1.94176950109367
"Windsor Locks","Capitol Region",89,27,-1.46414480962178
"Southington","Capitol Region",90,3,-2.82964534943666
"North Canaan","Northwest Hills",91,2,-1.14674531998843
"Prospect","Naugatuck Valley",92,-14,-0.074205519244419
"Andover","Capitol Region",93,-16,-1.60096151437283
"Cromwell","Lower CT River Valley",94,-19,-1.31782226696159
"Marlborough","Capitol Region",95,-35,-0.157872909937845
"Suffield","Capitol Region",96,-37,0.71197296043646
"Eastford","Northeast CT",97,-43,0.880693812029961
"Union","Northeast CT",98,-48,-6.16285856438571
"Preston","Southeastern CT",99,-59,-2.39521651734431
"Lisbon","Southeastern CT",100,-63,0.649688810077426
"Beacon Falls","Naugatuck Valley",101,-65,-3.17851847335265
"Watertown","Naugatuck Valley",102,-69,-3.10590880998378
"Hebron","Capitol Region",103,-70,-1.08529208152302
"Ellington","Capitol Region",104,-73,-1.42456078402138
"Woodstock","Northeast CT",105,-78,-2.80163000779073
"Wolcott","Naugatuck Valley",106,-79,-1.52272753819419
"Tolland","Capitol Region",107,-86,-0.710345589843669
"Portland","Lower CT River Valley",108,-92,-0.363810741351222
"Newington","Capitol Region",109,-94,-3.54176040223047
"Windsor","Capitol Region",110,-107,-0.109622765779904
"Lebanon","Southeastern CT",111,-111,-2.21317421240709
"East Windsor","Capitol Region",112,-112,-3.88668810524594
"Coventry","Capitol Region",113,-121,-0.298995598496761
"Hartland","Northwest Hills",114,-126,3.79633883207419
"Wethersfield","Capitol Region",115,-140,-1.28618694245617
"Colchester","Southeastern CT",116,-158,-0.700333717093024
"Bloomfield","Capitol Region",117,-159,-1.61479380036378
"Milford","South Central",118,-161,10.7011043732348
"Pomfret","Northeast CT",119,-172,-5.83163394697805
"Danbury","Western CT",120,-198,-0.857191470145165
"Scotland","Northeast CT",121,-202,-4.28286576752086
"Hampton","Northeast CT",122,-204,-0.55429718905753
"Willington","Capitol Region",123,-206,-1.94528964324255
"Canterbury","Northeast CT",124,-237,-3.82903066003006
"Ledyard","Southeastern CT",125,-249,-3.47420471250879
"West Hartford","Capitol Region",126,-250,8.34055501253624
"Winchester","Northwest Hills",127,-256,-4.93610776076723
"Somers","Capitol Region",128,-257,-1.86231445661301
"Voluntown","Northeast CT",129,-257,-1.11789026779606
"Thomaston","Naugatuck Valley",130,-284,-2.4045961879397
"Ashford","Northeast CT",131,-291,-3.67815984518808
"Plainville","Capitol Region",132,-298,-1.46215789822702
"Montville","Southeastern CT",133,-299,-5.4143981373769
"Stratford","Greater Bridgeport",134,-299,-0.996074162806856
"Middletown","Lower CT River Valley",135,-306,-3.75510461660824
"Sterling","Northeast CT",136,-315,-7.51226335821206
"Enfield","Capitol Region",137,-321,-4.55962589042928
"Brooklyn","Northeast CT",138,-327,-0.0103817221393581
"Seymour","Naugatuck Valley",139,-331,-3.97768185208925
"Sprague","Southeastern CT",140,-332,-6.26629225123633
"Hamden","South Central",141,-336,-3.32238766180288
"East Haven","South Central",142,-343,-4.04810673905881
"Plymouth","Naugatuck Valley",143,-361,-3.36161468821922
"Stafford","Capitol Region",144,-367,-4.48809195842457
"Killingly","Northeast CT",145,-369,-1.80097672919676
"Thompson","Northeast CT",146,-369,-2.26609727232842
"Manchester","Capitol Region",147,-375,-3.77584148232499
"Griswold","Southeastern CT",148,-376,-4.45475658080452
"Torrington","Northwest Hills",149,-403,-3.92585046444953
"Plainfield","Northeast CT",150,-410,-3.91450041791637
"Chaplin","Northeast CT",151,-416,-0.608701179608395
"Bristol","Naugatuck Valley",152,-428,-3.98212909525449
"Vernon","Capitol Region",153,-503,-0.779001810844725
"Naugatuck","Naugatuck Valley",154,-506,-5.33273539155189
"Putnam","Northeast CT",155,-573,-3.15497153535793
"Meriden","South Central",156,-607,-5.48940434883338
"Norwich","Southeastern CT",157,-619,-2.23981480736601
"Derby","Naugatuck Valley",158,-632,-7.37661936087689
"Mansfield","Capitol Region",159,-730,-0.25380030175523
"Ansonia","Naugatuck Valley",160,-734,-4.87335890759942
"East Hartford","Capitol Region",161,-740,-2.72978033915289
"West Haven","South Central",162,-750,-2.24415756603909
"Windham","Southeastern CT",163,-771,-6.44496344709011
"Waterbury","Naugatuck Valley",164,-849,-6.24428017147401
"New London","Southeastern CT",165,-896,-4.3937352706033
"New Britain","Capitol Region",166,-1056,-4.4421721674818
"New Haven","South Central",167,-1101,7.59209019825578
"Bridgeport","Greater Bridgeport",168,-1168,-5.07301734379251
"Hartford","Capitol Region",169,-1330,-3.49454311006929
